date,ROP,ROP_EPS,PE Ratio
1992-02-13,2.05,,
1992-02-14,2.25,,
1992-02-18,2.06,,
1992-02-19,2.16,,
1992-02-20,2.22,,
1992-02-21,2.28,,
1992-02-24,2.31,,
1992-02-25,2.28,,
1992-02-26,2.34,,
1992-02-27,2.41,,
1992-02-28,2.53,,
1992-03-02,2.56,,
1992-03-03,2.47,,
1992-03-04,2.44,,
1992-03-05,2.34,,
1992-03-06,2.34,,
1992-03-09,2.39,,
1992-03-10,2.44,,
1992-03-11,2.45,,
1992-03-12,2.44,,
1992-03-13,2.53,,
1992-03-16,2.56,,
1992-03-17,2.47,,
1992-03-18,2.47,,
1992-03-19,2.44,,
1992-03-20,2.53,,
1992-03-23,2.48,,
1992-03-24,2.44,,
1992-03-25,2.47,,
1992-03-26,2.41,,
1992-03-27,2.5,,
1992-03-30,2.47,,
1992-03-31,2.5,,
1992-04-01,2.44,,
1992-04-02,2.47,,
1992-04-03,2.47,,
1992-04-06,2.44,,
1992-04-07,2.5,,
1992-04-08,2.5,,
1992-04-09,2.47,,
1992-04-10,2.47,,
1992-04-13,2.47,,
1992-04-14,2.47,,
1992-04-15,2.44,,
1992-04-16,2.44,,
1992-04-20,2.38,,
1992-04-21,2.38,,
1992-04-22,2.47,,
1992-04-23,2.38,,
1992-04-24,2.41,,
1992-04-27,2.34,,
1992-04-28,2.25,,
1992-04-29,2.28,,
1992-04-30,2.25,,
1992-05-01,2.31,,
1992-05-04,2.31,,
1992-05-05,2.25,,
1992-05-06,2.19,,
1992-05-07,2.13,,
1992-05-08,2.16,,
1992-05-11,2.25,,
1992-05-12,2.22,,
1992-05-13,2.23,,
1992-05-14,2.22,,
1992-05-15,2.22,,
1992-05-18,2.22,,
1992-05-19,2.22,,
1992-05-20,2.16,,
1992-05-21,2.09,,
1992-05-22,2.06,,
1992-05-26,1.92,,
1992-05-27,1.97,,
1992-05-28,1.89,,
1992-05-29,1.88,,
1992-06-01,1.88,,
1992-06-02,1.86,,
1992-06-03,1.81,,
1992-06-04,1.88,,
1992-06-05,1.88,,
1992-06-08,1.91,,
1992-06-09,1.83,,
1992-06-10,1.81,,
1992-06-11,1.88,,
1992-06-12,1.81,,
1992-06-15,1.75,,
1992-06-16,1.78,,
1992-06-17,1.73,,
1992-06-18,1.69,,
1992-06-19,1.75,,
1992-06-22,1.69,,
1992-06-23,1.72,,
1992-06-24,1.67,,
1992-06-25,1.63,,
1992-06-26,1.56,,
1992-06-29,1.59,,
1992-06-30,1.58,,
1992-07-01,1.59,,
1992-07-02,1.63,,
1992-07-06,1.63,,
1992-07-07,1.56,,
1992-07-08,1.52,,
1992-07-09,1.53,,
1992-07-10,1.64,,
1992-07-13,1.58,,
1992-07-14,1.56,,
1992-07-15,1.64,,
1992-07-16,1.58,,
1992-07-17,1.48,,
1992-07-20,1.5,,
