date,EW,EW_EPS,PE Ratio
2000-10-13,5.59,,
2000-10-16,5.52,,
2000-10-17,5.69,,
2000-10-18,5.73,,
2000-10-19,5.86,,
2000-10-20,5.81,,
2000-10-23,5.92,,
2000-10-24,6.05,,
2000-10-25,5.97,,
2000-10-26,5.83,,
2000-10-27,5.75,,
2000-10-30,5.73,,
2000-10-31,3.36,,
2000-11-01,3.25,,
2000-11-02,3.55,,
2000-11-03,3.8,,
2000-11-06,3.75,,
2000-11-07,3.81,,
2000-11-08,3.86,,
2000-11-09,3.8,,
2000-11-10,3.67,,
2000-11-13,3.58,,
2000-11-14,3.48,,
2000-11-15,3.55,,
2000-11-16,3.56,,
2000-11-17,3.55,,
2000-11-20,3.44,,
2000-11-21,3.73,,
2000-11-22,3.91,,
2000-11-24,4.0,,
2000-11-27,3.98,,
2000-11-28,4.02,,
2000-11-29,4.03,,
2000-11-30,4.02,,
2000-12-01,4.11,,
2000-12-04,3.97,,
2000-12-05,4.08,,
2000-12-06,3.97,,
2000-12-07,4.02,,
2000-12-08,4.22,,
2000-12-11,4.14,,
2000-12-12,4.0,,
2000-12-13,3.95,,
2000-12-14,3.77,,
2000-12-15,3.95,,
2000-12-18,3.94,,
2000-12-19,4.2,,
2000-12-20,4.13,,
2000-12-21,4.14,,
2000-12-22,4.19,,
2000-12-26,4.16,,
2000-12-27,4.2,,
2000-12-28,4.34,,
2000-12-29,4.44,,
2001-01-02,4.34,,
2001-01-03,4.58,,
2001-01-04,4.56,,
2001-01-05,4.22,,
2001-01-08,4.25,,
2001-01-09,4.36,,
2001-01-10,4.5,,
2001-01-11,4.45,,
2001-01-12,4.48,,
2001-01-16,4.5,,
2001-01-17,4.48,,
2001-01-18,4.56,,
2001-01-19,4.39,,
2001-01-22,4.47,,
2001-01-23,4.44,,
2001-01-24,4.5,,
2001-01-25,4.47,,
2001-01-26,4.34,,
2001-01-29,4.57,,
2001-01-30,4.6,,
2001-01-31,4.56,,
2001-02-01,4.61,,
2001-02-02,4.63,,
2001-02-05,4.49,,
2001-02-06,4.32,,
2001-02-07,4.63,,
2001-02-08,4.74,,
2001-02-09,4.86,,
2001-02-12,5.38,,
2001-02-13,5.04,,
2001-02-14,5.05,,
2001-02-15,5.25,,
2001-02-16,5.16,,
2001-02-20,5.19,,
2001-02-21,5.2,,
2001-02-22,5.32,,
2001-02-23,5.15,,
2001-02-26,5.25,,
2001-02-27,5.44,,
2001-02-28,5.24,,
2001-03-01,5.31,,
2001-03-02,5.06,,
2001-03-05,5.0,,
2001-03-06,5.0,,
2001-03-07,4.78,,
2001-03-08,4.84,,
2001-03-09,4.79,,
2001-03-12,4.79,,
2001-03-13,4.96,,
2001-03-14,4.97,,
2001-03-15,4.88,,
2001-03-16,4.85,,
2001-03-19,4.8,,
2001-03-20,4.66,,
2001-03-21,4.62,,
2001-03-22,4.5,,
2001-03-23,4.45,,
2001-03-26,4.48,,
2001-03-27,4.62,,
2001-03-28,4.49,,
2001-03-29,4.88,,
2001-03-30,4.9,,
2001-04-02,4.85,,
2001-04-03,4.6,,
2001-04-04,4.71,,
2001-04-05,4.78,,
2001-04-06,4.88,,
2001-04-09,4.84,,
2001-04-10,4.78,,
2001-04-11,4.6,,
2001-04-12,4.62,,
2001-04-16,4.66,,
2001-04-17,4.78,,
2001-04-18,4.75,,
2001-04-19,5.0,,
2001-04-20,5.0,,
2001-04-23,5.0,,
2001-04-24,4.99,,
2001-04-25,4.94,,
2001-04-26,4.91,,
2001-04-27,5.53,,
2001-04-30,5.41,,
2001-05-01,5.6,,
2001-05-02,5.53,,
2001-05-03,5.55,,
2001-05-04,5.76,,
2001-05-07,5.62,,
2001-05-08,5.7,,
2001-05-09,5.63,,
2001-05-10,5.62,,
2001-05-11,5.58,,
2001-05-14,5.74,,
2001-05-15,5.84,,
2001-05-16,5.94,,
2001-05-17,6.0,,
2001-05-18,5.96,,
2001-05-21,6.0,,
2001-05-22,5.76,,
2001-05-23,5.88,,
2001-05-24,5.75,,
2001-05-25,5.65,,
2001-05-29,5.6,,
2001-05-30,5.5,,
2001-05-31,5.79,,
2001-06-01,5.97,,
2001-06-04,6.02,,
2001-06-05,6.16,,
2001-06-06,6.25,,
2001-06-07,6.29,,
2001-06-08,6.26,,
2001-06-11,6.2,,
2001-06-12,6.12,,
2001-06-13,6.1,,
2001-06-14,6.0,,
2001-06-15,5.97,,
2001-06-18,6.01,,
2001-06-19,6.03,,
2001-06-20,6.14,,
2001-06-21,6.17,,
2001-06-22,6.18,,
2001-06-25,6.17,,
2001-06-26,6.27,,
2001-06-27,6.37,,
2001-06-28,6.38,,
2001-06-29,6.59,,
2001-07-02,6.58,,
2001-07-03,6.56,,
2001-07-05,6.54,,
2001-07-06,6.37,,
2001-07-09,6.61,,
2001-07-10,6.66,,
2001-07-11,6.66,,
2001-07-12,6.74,,
2001-07-13,6.95,,
2001-07-16,6.54,,
2001-07-17,6.57,,
2001-07-18,6.47,,
2001-07-19,6.01,,
2001-07-20,5.79,,
2001-07-23,5.76,,
2001-07-24,5.97,,
2001-07-25,5.86,,
2001-07-26,6.03,,
2001-07-27,6.25,,
2001-07-30,6.21,,
2001-07-31,6.2,,
2001-08-01,6.23,,
2001-08-02,6.02,,
2001-08-03,5.99,,
2001-08-06,6.07,,
2001-08-07,6.1,,
2001-08-08,6.09,,
2001-08-09,6.0,,
2001-08-10,5.96,,
2001-08-13,6.04,-0.95,-6.3578947368421055
2001-08-14,6.27,-0.95,-6.6
2001-08-15,6.31,-0.95,-6.6421052631578945
2001-08-16,6.25,-0.95,-6.578947368421053
2001-08-17,6.36,-0.95,-6.6947368421052635
2001-08-20,6.51,-0.95,-6.852631578947369
2001-08-21,6.32,-0.95,-6.652631578947369
2001-08-22,6.39,-0.95,-6.726315789473684
2001-08-23,6.5,-0.95,-6.842105263157895
2001-08-24,6.44,-0.95,-6.778947368421053
2001-08-27,6.41,-0.95,-6.747368421052632
2001-08-28,6.29,-0.95,-6.621052631578948
2001-08-29,6.53,-0.95,-6.873684210526316
2001-08-30,6.57,-0.95,-6.915789473684211
2001-08-31,6.57,-0.95,-6.915789473684211
2001-09-04,6.5,-0.95,-6.842105263157895
2001-09-05,6.51,-0.95,-6.852631578947369
2001-09-06,6.5,-0.95,-6.842105263157895
2001-09-07,6.52,-0.95,-6.863157894736842
2001-09-10,6.41,-0.95,-6.747368421052632
2001-09-17,6.21,-0.95,-6.536842105263158
2001-09-18,5.94,-0.95,-6.252631578947369
2001-09-19,5.82,-0.95,-6.126315789473685
2001-09-20,5.51,-0.95,-5.8
2001-09-21,5.41,-0.95,-5.6947368421052635
2001-09-24,5.25,-0.95,-5.526315789473684
2001-09-25,5.28,-0.95,-5.557894736842106
2001-09-26,5.51,-0.95,-5.8
2001-09-27,5.58,-0.95,-5.873684210526316
2001-09-28,5.6,-0.95,-5.894736842105263
2001-10-01,5.82,-0.95,-6.126315789473685
2001-10-02,5.97,-0.95,-6.28421052631579
2001-10-03,5.81,-0.95,-6.11578947368421
2001-10-04,6.03,-0.95,-6.347368421052632
2001-10-05,6.06,-0.95,-6.378947368421053
2001-10-08,6.1,-0.95,-6.421052631578947
2001-10-09,6.04,-0.95,-6.3578947368421055
2001-10-10,6.08,-0.95,-6.4
2001-10-11,6.18,-0.95,-6.505263157894737
2001-10-12,6.12,-0.95,-6.442105263157895
2001-10-15,6.02,-0.95,-6.336842105263158
2001-10-16,6.18,-0.95,-6.505263157894737
2001-10-17,6.16,-0.95,-6.48421052631579
2001-10-18,6.27,-0.95,-6.6
2001-10-19,6.57,-0.95,-6.915789473684211
2001-10-22,6.51,-0.95,-6.852631578947369
2001-10-23,6.59,-0.95,-6.936842105263158
2001-10-24,6.58,-0.95,-6.926315789473684
2001-10-25,6.73,-0.95,-7.084210526315791
2001-10-26,6.49,-0.95,-6.831578947368421
2001-10-29,6.16,-0.95,-6.48421052631579
2001-10-30,6.28,-0.95,-6.610526315789475
2001-10-31,6.35,-0.95,-6.684210526315789
2001-11-01,6.49,-0.95,-6.831578947368421
2001-11-02,6.56,-0.95,-6.905263157894737
2001-11-05,6.47,-0.95,-6.810526315789474
2001-11-06,6.43,-0.95,-6.768421052631579
2001-11-07,6.26,-0.95,-6.589473684210526
2001-11-08,6.26,-0.95,-6.589473684210526
2001-11-09,6.32,0.25,25.28
2001-11-12,6.35,0.25,25.4
2001-11-13,6.23,0.25,24.92
2001-11-14,6.07,0.25,24.28
2001-11-15,5.92,0.25,23.68
2001-11-16,5.85,0.25,23.4
2001-11-19,5.84,0.25,23.36
2001-11-20,6.1,0.25,24.4
2001-11-21,6.25,0.25,25.0
2001-11-23,6.3,0.25,25.2
2001-11-26,6.43,0.25,25.72
2001-11-27,6.23,0.25,24.92
2001-11-28,6.24,0.25,24.96
2001-11-29,6.43,0.25,25.72
2001-11-30,6.31,0.25,25.24
2001-12-03,6.12,0.25,24.48
2001-12-04,6.39,0.25,25.56
2001-12-05,6.36,0.25,25.44
2001-12-06,6.41,0.25,25.64
2001-12-07,6.46,0.25,25.84
2001-12-10,6.17,0.25,24.68
2001-12-11,6.51,0.25,26.04
2001-12-12,6.62,0.25,26.48
2001-12-13,6.73,0.25,26.92
2001-12-14,6.67,0.25,26.68
2001-12-17,7.1,0.25,28.4
2001-12-18,7.12,0.25,28.48
2001-12-19,6.92,0.25,27.68
2001-12-20,6.89,0.25,27.56
2001-12-21,6.86,0.25,27.44
2001-12-24,7.16,0.25,28.64
2001-12-26,7.14,0.25,28.56
2001-12-27,6.9,0.25,27.6
2001-12-28,7.19,0.25,28.76
2001-12-31,6.91,0.25,27.64
2002-01-02,6.85,0.25,27.4
2002-01-03,6.76,0.25,27.04
2002-01-04,6.84,0.25,27.36
2002-01-07,6.83,0.25,27.32
2002-01-08,6.83,0.25,27.32
2002-01-09,6.75,0.25,27.0
2002-01-10,6.7,0.25,26.8
2002-01-11,6.46,0.25,25.84
2002-01-14,6.51,0.25,26.04
2002-01-15,6.63,0.25,26.52
2002-01-16,6.51,0.25,26.04
2002-01-17,6.51,0.25,26.04
2002-01-18,6.5,0.25,26.0
2002-01-22,6.54,0.25,26.16
2002-01-23,6.69,0.25,26.76
2002-01-24,6.66,0.25,26.64
2002-01-25,6.75,0.25,27.0
2002-01-28,6.84,0.25,27.36
2002-01-29,6.74,0.25,26.96
2002-01-30,6.84,0.25,27.36
2002-01-31,6.73,0.25,26.92
2002-02-01,6.89,0.25,27.56
2002-02-04,6.41,0.25,25.64
2002-02-05,6.37,0.25,25.48
2002-02-06,7.0,0.25,28.0
2002-02-07,7.1,0.25,28.4
2002-02-08,7.25,0.25,29.0
2002-02-11,7.38,0.25,29.52
2002-02-12,7.0,0.25,28.0
2002-02-13,7.08,0.25,28.32
2002-02-14,7.1,0.25,28.4
2002-02-15,6.91,0.25,27.64
2002-02-19,6.75,0.25,27.0
2002-02-20,7.21,0.25,28.84
2002-02-21,6.85,0.25,27.4
2002-02-22,7.25,0.25,29.0
2002-02-25,6.89,0.25,27.56
2002-02-26,6.91,0.25,27.64
2002-02-27,7.02,0.25,28.08
2002-02-28,7.13,0.25,28.52
2002-03-01,6.94,0.25,27.76
2002-03-04,6.86,0.25,27.44
2002-03-05,6.93,0.25,27.72
2002-03-06,7.03,0.25,28.12
2002-03-07,6.96,0.25,27.84
2002-03-08,6.96,0.25,27.84
2002-03-11,6.77,0.25,27.08
2002-03-12,7.03,0.25,28.12
2002-03-13,6.93,0.25,27.72
2002-03-14,6.94,0.25,27.76
2002-03-15,6.94,0.25,27.76
2002-03-18,6.98,0.25,27.92
2002-03-19,7.0,0.25,28.0
2002-03-20,6.9,0.25,27.6
2002-03-21,7.0,0.25,28.0
2002-03-22,6.91,-0.17,-40.64705882352941
2002-03-25,6.8,-0.17,-39.99999999999999
2002-03-26,7.03,-0.17,-41.35294117647059
2002-03-27,6.81,-0.17,-40.05882352941176
2002-03-28,6.99,-0.17,-41.11764705882353
2002-04-01,6.9,-0.17,-40.588235294117645
2002-04-02,6.72,-0.17,-39.52941176470588
2002-04-03,6.74,-0.17,-39.64705882352941
2002-04-04,6.81,-0.17,-40.05882352941176
2002-04-05,6.68,-0.17,-39.29411764705882
2002-04-08,6.66,-0.17,-39.17647058823529
2002-04-09,6.85,-0.17,-40.29411764705882
2002-04-10,6.77,-0.17,-39.8235294117647
2002-04-11,6.76,-0.17,-39.764705882352935
2002-04-12,6.97,-0.17,-40.99999999999999
2002-04-15,6.75,-0.17,-39.705882352941174
2002-04-16,7.0,-0.17,-41.17647058823529
2002-04-17,6.73,-0.17,-39.588235294117645
2002-04-18,6.84,-0.17,-40.23529411764706
2002-04-19,6.7,-0.17,-39.41176470588235
2002-04-22,6.76,-0.17,-39.764705882352935
2002-04-23,6.7,-0.17,-39.41176470588235
2002-04-24,6.1,-0.17,-35.882352941176464
2002-04-25,6.25,-0.17,-36.76470588235294
2002-04-26,6.29,-0.17,-37.0
2002-04-29,6.2,-0.17,-36.470588235294116
2002-04-30,6.28,-0.17,-36.94117647058823
2002-05-01,6.44,-0.17,-37.88235294117647
2002-05-02,6.55,-0.17,-38.52941176470588
2002-05-03,6.58,-0.17,-38.705882352941174
2002-05-06,6.38,-0.17,-37.52941176470588
2002-05-07,6.5,-0.17,-38.23529411764706
2002-05-08,6.44,-0.17,-37.88235294117647
2002-05-09,6.28,-0.17,-36.94117647058823
2002-05-10,6.2,-0.17,-36.470588235294116
2002-05-13,6.12,0.35,17.485714285714288
2002-05-14,6.1,0.35,17.428571428571427
2002-05-15,6.37,0.35,18.200000000000003
2002-05-16,6.08,0.35,17.371428571428574
2002-05-17,6.25,0.35,17.857142857142858
2002-05-20,5.95,0.35,17.0
2002-05-21,6.06,0.35,17.314285714285713
2002-05-22,5.94,0.35,16.971428571428575
2002-05-23,6.05,0.35,17.285714285714285
2002-05-24,5.95,0.35,17.0
2002-05-28,6.07,0.35,17.342857142857145
2002-05-29,5.9,0.35,16.857142857142858
2002-05-30,6.13,0.35,17.514285714285716
2002-05-31,5.96,0.35,17.02857142857143
2002-06-03,5.79,0.35,16.542857142857144
2002-06-04,5.81,0.35,16.6
2002-06-05,5.85,0.35,16.714285714285715
2002-06-06,5.69,0.35,16.25714285714286
2002-06-07,5.63,0.35,16.085714285714285
2002-06-10,5.95,0.35,17.0
2002-06-11,5.71,0.35,16.314285714285717
2002-06-12,5.83,0.35,16.65714285714286
2002-06-13,5.87,0.35,16.771428571428572
2002-06-14,6.04,0.35,17.25714285714286
2002-06-17,6.13,0.35,17.514285714285716
2002-06-18,6.21,0.35,17.742857142857144
2002-06-19,5.99,0.35,17.114285714285717
2002-06-20,6.01,0.35,17.17142857142857
2002-06-21,6.0,0.35,17.142857142857142
2002-06-24,5.79,0.35,16.542857142857144
2002-06-25,5.8,0.35,16.571428571428573
2002-06-26,5.69,0.35,16.25714285714286
2002-06-27,5.72,0.35,16.34285714285714
2002-06-28,5.8,0.35,16.571428571428573
2002-07-01,5.45,0.35,15.571428571428573
2002-07-02,5.21,0.35,14.885714285714286
2002-07-03,5.49,0.35,15.685714285714287
2002-07-05,5.45,0.35,15.571428571428573
2002-07-08,5.39,0.35,15.4
2002-07-09,5.34,0.35,15.257142857142858
2002-07-10,5.01,0.35,14.314285714285715
2002-07-11,4.91,0.35,14.02857142857143
2002-07-12,5.19,0.35,14.828571428571431
2002-07-15,5.04,0.35,14.4
2002-07-16,5.26,0.35,15.028571428571428
2002-07-17,5.43,0.35,15.514285714285714
2002-07-18,5.25,0.35,15.000000000000002
2002-07-19,5.06,0.35,14.457142857142857
2002-07-22,4.95,0.35,14.142857142857144
2002-07-23,4.64,0.35,13.257142857142856
2002-07-24,5.48,0.35,15.65714285714286
2002-07-25,5.89,0.35,16.82857142857143
2002-07-26,5.88,0.35,16.8
2002-07-29,5.98,0.35,17.08571428571429
2002-07-30,6.01,0.35,17.17142857142857
2002-07-31,6.09,0.35,17.400000000000002
2002-08-01,6.13,0.35,17.514285714285716
2002-08-02,5.99,0.35,17.114285714285717
2002-08-05,5.75,0.35,16.42857142857143
2002-08-06,6.01,0.35,17.17142857142857
2002-08-07,6.1,0.35,17.428571428571427
2002-08-08,6.27,0.35,17.914285714285715
2002-08-09,6.33,0.35,18.085714285714285
2002-08-12,6.2,0.35,17.714285714285715
2002-08-13,6.13,0.35,17.514285714285716
2002-08-14,6.33,0.52,12.173076923076923
2002-08-15,6.25,0.52,12.019230769230768
2002-08-16,6.26,0.52,12.038461538461538
2002-08-19,6.31,0.52,12.134615384615383
2002-08-20,6.34,0.52,12.192307692307692
2002-08-21,6.37,0.52,12.25
2002-08-22,6.32,0.52,12.153846153846153
2002-08-23,6.28,0.52,12.076923076923077
2002-08-26,6.26,0.52,12.038461538461538
2002-08-27,6.22,0.52,11.96153846153846
2002-08-28,6.2,0.52,11.923076923076923
2002-08-29,6.24,0.52,12.0
2002-08-30,6.16,0.52,11.846153846153847
2002-09-03,5.98,0.52,11.5
2002-09-04,6.08,0.52,11.692307692307692
2002-09-05,6.03,0.52,11.596153846153847
2002-09-06,6.11,0.52,11.75
2002-09-09,6.21,0.52,11.942307692307692
2002-09-10,6.2,0.52,11.923076923076923
2002-09-11,6.23,0.52,11.980769230769232
2002-09-12,6.19,0.52,11.903846153846155
2002-09-13,6.19,0.52,11.903846153846155
2002-09-16,6.18,0.52,11.884615384615383
2002-09-17,6.09,0.52,11.711538461538462
2002-09-18,6.16,0.52,11.846153846153847
2002-09-19,6.15,0.52,11.826923076923077
2002-09-20,6.24,0.52,12.0
2002-09-23,6.21,0.52,11.942307692307692
2002-09-24,6.18,0.52,11.884615384615383
2002-09-25,6.25,0.52,12.019230769230768
2002-09-26,6.3,0.52,12.115384615384615
2002-09-27,6.3,0.52,12.115384615384615
2002-09-30,6.4,0.52,12.307692307692308
2002-10-01,6.38,0.52,12.269230769230768
2002-10-02,6.33,0.52,12.173076923076923
2002-10-03,6.4,0.52,12.307692307692308
2002-10-04,6.46,0.52,12.423076923076923
2002-10-07,6.44,0.52,12.384615384615385
2002-10-08,6.43,0.52,12.365384615384615
2002-10-09,6.25,0.52,12.019230769230768
2002-10-10,6.19,0.52,11.903846153846155
2002-10-11,6.23,0.52,11.980769230769232
2002-10-14,6.24,0.52,12.0
2002-10-15,6.17,0.52,11.865384615384615
2002-10-16,6.19,0.52,11.903846153846155
2002-10-17,6.2,0.52,11.923076923076923
2002-10-18,6.18,0.52,11.884615384615383
2002-10-21,6.09,0.52,11.711538461538462
2002-10-22,5.97,0.52,11.48076923076923
2002-10-23,6.35,0.52,12.21153846153846
2002-10-24,6.51,0.52,12.519230769230768
2002-10-25,6.51,0.52,12.519230769230768
2002-10-28,6.53,0.52,12.557692307692308
2002-10-29,6.43,0.52,12.365384615384615
2002-10-30,6.38,0.52,12.269230769230768
2002-10-31,6.42,0.52,12.346153846153845
2002-11-01,6.41,0.52,12.326923076923077
2002-11-04,6.5,0.52,12.5
2002-11-05,6.49,0.52,12.48076923076923
2002-11-06,6.49,0.52,12.48076923076923
2002-11-07,6.42,0.52,12.346153846153845
2002-11-08,6.32,0.52,12.153846153846153
2002-11-11,6.33,0.52,12.173076923076923
2002-11-12,6.41,0.52,12.326923076923077
2002-11-13,6.61,0.52,12.711538461538462
2002-11-14,6.64,-0.3,-22.133333333333333
2002-11-15,6.83,-0.3,-22.76666666666667
2002-11-18,6.77,-0.3,-22.566666666666666
2002-11-19,6.76,-0.3,-22.533333333333335
2002-11-20,6.78,-0.3,-22.6
2002-11-21,6.85,-0.3,-22.833333333333332
2002-11-22,6.83,-0.3,-22.76666666666667
2002-11-25,6.75,-0.3,-22.5
2002-11-26,6.71,-0.3,-22.366666666666667
2002-11-27,6.59,-0.3,-21.96666666666667
2002-11-29,6.58,-0.3,-21.933333333333334
2002-12-02,6.4,-0.3,-21.333333333333336
2002-12-03,6.38,-0.3,-21.266666666666666
2002-12-04,6.44,-0.3,-21.46666666666667
2002-12-05,6.48,-0.3,-21.6
2002-12-06,6.51,-0.3,-21.7
2002-12-09,6.5,-0.3,-21.666666666666668
2002-12-10,6.45,-0.3,-21.5
2002-12-11,6.56,-0.3,-21.866666666666667
2002-12-12,6.51,-0.3,-21.7
2002-12-13,6.41,-0.3,-21.366666666666667
2002-12-16,6.55,-0.3,-21.833333333333332
2002-12-17,6.44,-0.3,-21.46666666666667
2002-12-18,6.48,-0.3,-21.6
2002-12-19,6.55,-0.3,-21.833333333333332
2002-12-20,6.54,-0.3,-21.8
2002-12-23,6.53,-0.3,-21.76666666666667
2002-12-24,6.56,-0.3,-21.866666666666667
2002-12-26,6.52,-0.3,-21.733333333333334
2002-12-27,6.48,-0.3,-21.6
2002-12-30,6.36,-0.3,-21.200000000000003
2002-12-31,6.37,-0.3,-21.233333333333334
2003-01-02,6.4,-0.3,-21.333333333333336
2003-01-03,6.4,-0.3,-21.333333333333336
2003-01-06,6.35,-0.3,-21.166666666666668
2003-01-07,6.3,-0.3,-21.0
2003-01-08,6.39,-0.3,-21.3
2003-01-09,6.34,-0.3,-21.133333333333333
2003-01-10,6.37,-0.3,-21.233333333333334
2003-01-13,6.39,-0.3,-21.3
2003-01-14,6.39,-0.3,-21.3
2003-01-15,6.5,-0.3,-21.666666666666668
2003-01-16,6.5,-0.3,-21.666666666666668
2003-01-17,6.43,-0.3,-21.433333333333334
2003-01-21,6.39,-0.3,-21.3
2003-01-22,6.55,-0.3,-21.833333333333332
2003-01-23,6.57,-0.3,-21.900000000000002
2003-01-24,6.42,-0.3,-21.400000000000002
2003-01-27,6.23,-0.3,-20.76666666666667
2003-01-28,6.3,-0.3,-21.0
2003-01-29,6.28,-0.3,-20.933333333333334
2003-01-30,6.11,-0.3,-20.366666666666667
2003-01-31,6.38,-0.3,-21.266666666666666
2003-02-03,6.13,-0.3,-20.433333333333334
2003-02-04,6.48,-0.3,-21.6
2003-02-05,6.39,-0.3,-21.3
2003-02-06,6.37,-0.3,-21.233333333333334
2003-02-07,6.39,-0.3,-21.3
2003-02-10,6.36,-0.3,-21.200000000000003
2003-02-11,6.43,-0.3,-21.433333333333334
2003-02-12,6.34,-0.3,-21.133333333333333
2003-02-13,6.19,-0.3,-20.633333333333336
2003-02-14,6.3,-0.3,-21.0
2003-02-18,6.44,-0.3,-21.46666666666667
2003-02-19,6.39,-0.3,-21.3
2003-02-20,6.47,-0.3,-21.566666666666666
2003-02-21,6.51,-0.3,-21.7
2003-02-24,6.39,-0.3,-21.3
2003-02-25,6.51,-0.3,-21.7
2003-02-26,6.53,-0.3,-21.76666666666667
2003-02-27,6.62,-0.3,-22.066666666666666
2003-02-28,6.65,-0.3,-22.166666666666668
2003-03-03,6.63,-0.3,-22.1
2003-03-04,6.63,-0.3,-22.1
2003-03-05,6.64,-0.3,-22.133333333333333
2003-03-06,6.54,-0.3,-21.8
2003-03-07,6.61,-0.3,-22.033333333333335
2003-03-10,6.51,-0.3,-21.7
2003-03-11,6.48,-0.3,-21.6
2003-03-12,6.37,-0.3,-21.233333333333334
2003-03-13,6.54,-0.3,-21.8
2003-03-14,6.55,0.94,6.968085106382979
2003-03-17,6.68,0.94,7.1063829787234045
2003-03-18,6.55,0.94,6.968085106382979
2003-03-19,6.63,0.94,7.053191489361702
2003-03-20,6.67,0.94,7.095744680851064
2003-03-21,6.87,0.94,7.308510638297873
2003-03-24,6.71,0.94,7.138297872340426
2003-03-25,6.85,0.94,7.287234042553192
2003-03-26,6.76,0.94,7.191489361702128
2003-03-27,6.74,0.94,7.170212765957447
2003-03-28,6.78,0.94,7.212765957446809
2003-03-31,6.85,0.94,7.287234042553192
2003-04-01,6.94,0.94,7.382978723404256
2003-04-02,6.97,0.94,7.414893617021277
2003-04-03,6.91,0.94,7.351063829787234
2003-04-04,6.81,0.94,7.24468085106383
2003-04-07,6.78,0.94,7.212765957446809
2003-04-08,6.84,0.94,7.276595744680852
2003-04-09,6.77,0.94,7.202127659574468
2003-04-10,6.85,0.94,7.287234042553192
2003-04-11,6.83,0.94,7.265957446808511
2003-04-14,6.95,0.94,7.393617021276596
2003-04-15,6.95,0.94,7.393617021276596
2003-04-16,6.81,0.94,7.24468085106383
