date,KEY,KEY_EPS,PE Ratio
1987-11-05,6.12,,
1987-11-06,6.12,,
1987-11-09,5.95,,
1987-11-10,6.12,,
1987-11-11,6.12,,
1987-11-12,6.47,,
1987-11-13,6.47,,
1987-11-16,6.43,,
1987-11-17,6.33,,
1987-11-18,6.15,,
1987-11-19,5.81,,
1987-11-20,5.81,,
1987-11-23,5.84,,
1987-11-24,5.98,,
1987-11-25,5.84,,
1987-11-27,5.91,,
1987-11-30,5.77,,
1987-12-01,5.88,,
1987-12-02,5.84,,
1987-12-03,5.74,,
1987-12-04,5.64,,
1987-12-07,5.57,,
1987-12-08,5.81,,
1987-12-09,5.6,,
1987-12-10,5.57,,
1987-12-11,5.5,,
1987-12-14,5.6,,
1987-12-15,5.67,,
1987-12-16,5.6,,
1987-12-17,5.77,,
1987-12-18,6.02,,
1987-12-21,5.91,,
1987-12-22,5.98,,
1987-12-23,6.15,,
1987-12-24,6.09,,
1987-12-28,6.26,,
1987-12-29,6.02,,
1987-12-30,6.09,,
1987-12-31,5.88,,
1988-01-04,6.05,,
1988-01-05,6.26,,
1988-01-06,6.22,,
1988-01-07,6.33,,
1988-01-08,6.02,,
1988-01-11,6.02,,
1988-01-12,5.91,,
1988-01-13,5.81,,
1988-01-14,5.71,,
1988-01-15,5.74,,
1988-01-18,5.88,,
1988-01-19,6.09,,
1988-01-20,5.98,,
1988-01-21,5.91,,
1988-01-22,6.02,,
1988-01-25,5.98,,
1988-01-26,5.98,,
1988-01-27,6.09,,
1988-01-28,6.15,,
1988-01-29,6.19,,
1988-02-01,6.19,,
1988-02-02,6.09,,
1988-02-03,6.02,,
1988-02-04,5.91,,
1988-02-05,5.91,,
1988-02-08,5.88,,
1988-02-09,5.74,,
1988-02-10,5.81,,
1988-02-11,5.88,,
1988-02-12,5.95,,
1988-02-16,5.81,,
1988-02-17,5.98,,
1988-02-18,5.95,,
1988-02-19,5.98,,
1988-02-22,5.98,,
1988-02-23,5.95,,
1988-02-24,5.98,,
1988-02-25,6.02,,
1988-02-26,6.02,,
1988-02-29,5.95,,
1988-03-01,5.88,,
1988-03-02,5.88,,
1988-03-03,5.74,,
1988-03-04,5.98,,
1988-03-07,6.02,,
1988-03-08,6.09,,
1988-03-09,6.09,,
1988-03-10,6.09,,
1988-03-11,6.05,,
1988-03-14,6.15,,
1988-03-15,6.12,,
1988-03-16,6.09,,
1988-03-17,6.15,,
1988-03-18,6.19,,
1988-03-21,6.02,,
1988-03-22,5.95,,
1988-03-23,6.05,,
1988-03-24,6.09,,
1988-03-25,5.95,,
1988-03-28,5.84,,
1988-03-29,5.77,,
1988-03-30,5.81,,
1988-03-31,5.95,,
1988-04-04,5.91,,
1988-04-05,5.91,,
1988-04-06,5.91,,
1988-04-07,5.88,,
1988-04-08,5.95,,
1988-04-11,6.02,,
1988-04-12,5.98,,
1988-04-13,5.98,,
1988-04-14,5.88,,
1988-04-15,5.77,,
1988-04-18,5.81,,
1988-04-19,5.71,,
1988-04-20,5.6,,
1988-04-21,5.64,,
1988-04-22,5.77,,
1988-04-25,5.88,,
1988-04-26,5.74,,
1988-04-27,5.81,,
1988-04-28,5.67,,
1988-04-29,5.88,,
1988-05-02,5.95,,
1988-05-03,5.84,,
1988-05-04,5.81,,
1988-05-05,5.77,,
1988-05-06,5.81,,
1988-05-09,5.77,,
1988-05-10,5.95,,
1988-05-11,5.77,,
1988-05-12,5.77,,
1988-05-13,5.84,,
1988-05-16,5.84,,
1988-05-17,5.88,,
1988-05-18,5.88,,
1988-05-19,5.81,,
1988-05-20,5.81,,
1988-05-23,5.77,,
1988-05-24,5.81,,
1988-05-25,5.74,,
1988-05-26,5.81,,
1988-05-27,5.77,,
1988-05-31,5.84,,
1988-06-01,5.84,,
1988-06-02,5.77,,
1988-06-03,5.77,,
1988-06-06,5.67,,
1988-06-07,5.64,,
1988-06-08,5.67,,
1988-06-09,5.81,,
1988-06-10,5.77,,
1988-06-13,5.84,,
1988-06-14,5.95,,
1988-06-15,6.15,,
1988-06-16,5.91,,
1988-06-17,5.77,,
1988-06-20,5.74,,
1988-06-21,5.67,,
1988-06-22,5.74,,
1988-06-23,5.77,,
1988-06-24,5.64,,
1988-06-27,5.67,,
1988-06-28,5.77,,
1988-06-29,5.74,,
1988-06-30,5.84,,
1988-07-01,5.88,,
1988-07-05,5.84,,
1988-07-06,5.81,,
1988-07-07,5.77,,
1988-07-08,5.81,,
1988-07-11,5.95,,
1988-07-12,5.71,,
1988-07-13,5.91,,
1988-07-14,5.88,,
1988-07-15,5.84,,
1988-07-18,5.95,,
1988-07-19,5.71,,
1988-07-20,5.77,,
1988-07-21,5.74,,
1988-07-22,5.71,,
1988-07-25,5.81,,
1988-07-26,5.74,,
1988-07-27,5.67,,
1988-07-28,5.71,,
1988-07-29,5.74,,
1988-08-01,5.67,,
1988-08-02,5.67,,
1988-08-03,5.64,,
1988-08-04,5.71,,
1988-08-05,5.71,,
1988-08-08,5.77,,
1988-08-09,5.74,,
1988-08-10,5.71,,
1988-08-11,5.64,,
1988-08-12,5.53,,
1988-08-15,5.6,,
1988-08-16,5.67,,
1988-08-17,5.67,,
1988-08-18,5.71,,
1988-08-19,5.71,,
1988-08-22,5.71,,
1988-08-23,5.67,,
1988-08-24,5.74,,
1988-08-25,5.84,,
1988-08-26,5.84,,
1988-08-29,5.67,,
1988-08-30,5.71,,
1988-08-31,5.84,,
1988-09-01,5.81,,
1988-09-02,5.84,,
1988-09-06,5.81,,
1988-09-07,5.81,,
1988-09-08,5.81,,
1988-09-09,5.84,,
1988-09-12,5.84,,
1988-09-13,5.84,,
1988-09-14,5.88,,
1988-09-15,5.88,,
1988-09-16,5.88,,
1988-09-19,5.84,,
1988-09-20,5.81,,
1988-09-21,5.84,,
1988-09-22,5.91,,
1988-09-23,5.91,,
1988-09-26,5.84,,
1988-09-27,5.84,,
1988-09-28,5.81,,
1988-09-29,5.88,,
1988-09-30,5.84,,
1988-10-03,5.81,,
1988-10-04,5.81,,
1988-10-05,5.81,,
1988-10-06,5.81,,
1988-10-07,5.91,,
1988-10-10,6.02,,
1988-10-11,6.02,,
1988-10-12,5.98,,
1988-10-13,5.91,,
1988-10-14,5.91,,
1988-10-17,5.81,,
1988-10-18,5.88,,
1988-10-19,5.88,,
1988-10-20,6.02,,
1988-10-21,6.02,,
1988-10-24,5.95,,
1988-10-25,5.91,,
1988-10-26,5.88,,
1988-10-27,5.91,,
1988-10-28,5.88,,
1988-10-31,5.84,,
1988-11-01,5.91,,
1988-11-02,5.95,,
1988-11-03,5.91,,
1988-11-04,5.84,,
1988-11-07,5.84,,
1988-11-08,5.81,,
1988-11-09,5.81,,
1988-11-10,5.74,,
1988-11-11,5.57,,
1988-11-14,5.81,,
1988-11-15,5.74,,
1988-11-16,5.74,,
1988-11-17,5.6,,
1988-11-18,5.64,,
1988-11-21,5.57,,
1988-11-22,5.64,,
1988-11-23,5.6,,
1988-11-25,5.6,,
1988-11-28,5.64,,
1988-11-29,5.53,,
1988-11-30,5.57,,
1988-12-01,5.53,,
1988-12-02,5.53,,
1988-12-05,5.53,,
1988-12-06,5.53,,
1988-12-07,5.57,,
1988-12-08,5.57,,
1988-12-09,5.53,,
1988-12-12,5.57,,
1988-12-13,5.57,,
1988-12-14,5.6,,
1988-12-15,5.6,,
1988-12-16,5.6,,
1988-12-19,5.57,,
1988-12-20,5.53,,
1988-12-21,5.53,,
1988-12-22,5.53,,
1988-12-23,5.43,,
1988-12-27,5.53,,
1988-12-28,5.6,,
1988-12-29,5.53,,
1988-12-30,5.5,,
1989-01-03,5.53,,
1989-01-04,5.53,,
1989-01-05,5.53,,
1989-01-06,5.53,,
1989-01-09,5.64,,
1989-01-10,5.57,,
1989-01-11,5.57,,
1989-01-12,5.5,,
1989-01-13,5.57,,
1989-01-16,5.57,,
1989-01-17,5.57,,
1989-01-18,5.57,,
1989-01-19,5.53,,
1989-01-20,5.6,,
1989-01-23,5.57,,
1989-01-24,5.6,,
