date,KIM,KIM_EPS,PE Ratio
1991-11-22,4.44,,
1991-11-25,4.44,,
1991-11-26,4.44,,
1991-11-27,4.44,,
1991-11-29,4.44,,
1991-12-02,4.42,,
1991-12-03,4.42,,
1991-12-04,4.42,,
1991-12-05,4.42,,
1991-12-06,4.39,,
1991-12-09,4.39,,
1991-12-10,4.39,,
1991-12-11,4.39,,
1991-12-12,4.39,,
1991-12-13,4.39,,
1991-12-16,4.39,,
1991-12-17,4.42,,
1991-12-18,4.42,,
1991-12-19,4.44,,
1991-12-20,4.44,,
1991-12-23,4.56,,
1991-12-24,4.53,,
1991-12-26,4.61,,
1991-12-27,4.58,,
1991-12-30,4.58,,
1991-12-31,4.78,,
1992-01-02,4.78,,
1992-01-03,4.81,,
1992-01-06,4.92,,
1992-01-07,4.94,,
1992-01-08,4.94,,
1992-01-09,4.92,,
1992-01-10,5.0,,
1992-01-13,5.0,,
1992-01-14,5.08,,
1992-01-15,5.14,,
1992-01-16,5.14,,
1992-01-17,5.17,,
1992-01-20,5.14,,
1992-01-21,5.17,,
1992-01-22,5.17,,
1992-01-23,5.17,,
1992-01-24,5.17,,
1992-01-27,5.14,,
1992-01-28,5.19,,
1992-01-29,5.22,,
1992-01-30,5.25,,
1992-01-31,5.25,,
1992-02-03,5.28,,
1992-02-04,5.33,,
1992-02-05,5.39,,
1992-02-06,5.39,,
1992-02-07,5.44,,
1992-02-10,5.44,,
1992-02-11,5.42,,
1992-02-12,5.42,,
1992-02-13,5.36,,
1992-02-14,5.36,,
1992-02-18,5.33,,
1992-02-19,5.31,,
1992-02-20,5.28,,
1992-02-21,5.28,,
1992-02-24,5.31,,
1992-02-25,5.33,,
1992-02-26,5.28,,
1992-02-27,5.39,,
1992-02-28,5.33,,
1992-03-02,5.47,,
1992-03-03,5.56,,
1992-03-04,5.58,,
1992-03-05,5.44,,
1992-03-06,5.36,,
1992-03-09,5.44,,
1992-03-10,5.39,,
1992-03-11,5.39,,
1992-03-12,5.36,,
1992-03-13,5.42,,
1992-03-16,5.36,,
1992-03-17,5.33,,
1992-03-18,5.33,,
1992-03-19,5.39,,
1992-03-20,5.33,,
1992-03-23,5.36,,
1992-03-24,5.28,,
1992-03-25,5.25,,
1992-03-26,5.22,,
1992-03-27,5.22,,
1992-03-30,5.22,,
1992-03-31,5.25,,
1992-04-01,5.22,,
1992-04-02,5.19,,
1992-04-03,5.19,,
1992-04-06,5.17,,
1992-04-07,5.06,,
1992-04-08,5.0,,
1992-04-09,4.94,,
1992-04-10,4.97,,
1992-04-13,5.03,,
1992-04-14,5.11,,
1992-04-15,5.17,,
1992-04-16,5.17,,
1992-04-20,5.22,,
1992-04-21,5.25,,
1992-04-22,5.28,,
1992-04-23,5.19,,
1992-04-24,5.19,,
1992-04-27,5.25,,
