date,close price,PNW_SHE,PNW_TA,PNW_TL,market cap,PB Ratio
1973-02-21,22.38,,,,,
1973-02-22,22.5,,,,,
1973-02-23,22.0,,,,,
1973-02-26,21.88,,,,,
1973-02-27,21.5,,,,,
1973-02-28,21.63,,,,,
1973-03-01,21.63,,,,,
1973-03-02,21.75,,,,,
1973-03-05,20.75,,,,,
1973-03-06,20.88,,,,,
1973-03-07,21.25,,,,,
1973-03-08,21.25,,,,,
1973-03-09,20.88,,,,,
1973-03-12,20.5,,,,,
1973-03-13,21.13,,,,,
1973-03-14,21.0,,,,,
1973-03-15,21.0,,,,,
1973-03-16,20.75,,,,,
1973-03-19,20.63,,,,,
1973-03-20,20.38,,,,,
1973-03-21,20.38,,,,,
1973-03-22,19.88,,,,,
1973-03-23,20.0,,,,,
1973-03-26,20.25,,,,,
1973-03-27,20.25,,,,,
1973-03-28,20.25,,,,,
1973-03-29,20.5,,,,,
1973-03-30,20.63,,,,,
1973-04-02,19.88,,,,,
1973-04-03,19.88,,,,,
1973-04-04,19.5,,,,,
1973-04-05,19.63,,,,,
1973-04-06,19.38,,,,,
1973-04-09,20.0,,,,,
1973-04-10,19.88,,,,,
1973-04-11,19.88,,,,,
1973-04-12,20.0,,,,,
1973-04-13,20.5,,,,,
1973-04-16,20.63,,,,,
1973-04-17,20.75,,,,,
1973-04-18,21.13,,,,,
1973-04-19,21.88,,,,,
1973-04-23,22.13,,,,,
1973-04-24,21.88,,,,,
1973-04-25,21.25,,,,,
1973-04-26,21.25,,,,,
1973-04-27,21.25,,,,,
1973-04-30,21.0,,,,,
1973-05-01,21.13,,,,,
1973-05-02,21.5,,,,,
1973-05-03,21.75,,,,,
1973-05-04,22.38,,,,,
1973-05-07,21.75,,,,,
1973-05-08,21.75,,,,,
1973-05-09,21.63,,,,,
1973-05-10,21.75,,,,,
1973-05-11,21.75,,,,,
1973-05-14,21.13,,,,,
1973-05-15,21.0,,,,,
1973-05-16,21.0,,,,,
1973-05-17,20.88,,,,,
1973-05-18,20.25,,,,,
1973-05-21,20.13,,,,,
1973-05-22,20.25,,,,,
1973-05-23,20.5,,,,,
1973-05-24,21.0,,,,,
1973-05-25,21.25,,,,,
1973-05-29,21.13,,,,,
1973-05-30,21.25,,,,,
1973-05-31,21.13,,,,,
1973-06-01,21.13,,,,,
1973-06-04,21.13,,,,,
1973-06-05,21.38,,,,,
1973-06-06,21.25,,,,,
1973-06-07,21.13,,,,,
1973-06-08,21.63,,,,,
1973-06-11,21.75,,,,,
1973-06-12,21.5,,,,,
1973-06-13,21.75,,,,,
1973-06-14,21.38,,,,,
1973-06-15,21.0,,,,,
1973-06-18,20.38,,,,,
1973-06-19,20.63,,,,,
1973-06-20,20.38,,,,,
1973-06-21,20.38,,,,,
1973-06-22,20.88,,,,,
1973-06-25,20.63,,,,,
1973-06-26,21.25,,,,,
1973-06-27,21.0,,,,,
1973-06-28,20.75,,,,,
1973-06-29,21.25,,,,,
1973-07-02,21.25,,,,,
1973-07-03,21.5,,,,,
1973-07-05,20.25,,,,,
1973-07-06,20.13,,,,,
1973-07-09,20.25,,,,,
1973-07-10,20.13,,,,,
1973-07-11,20.0,,,,,
1973-07-12,20.75,,,,,
1973-07-13,20.63,,,,,
1973-07-16,20.13,,,,,
1973-07-17,20.13,,,,,
1973-07-18,20.5,,,,,
1973-07-19,20.5,,,,,
1973-07-20,20.25,,,,,
1973-07-23,21.13,,,,,
1973-07-24,20.5,,,,,
1973-07-25,20.5,,,,,
1973-07-26,20.13,,,,,
1973-07-27,20.5,,,,,
1973-07-30,20.38,,,,,
1973-07-31,20.25,,,,,
