date,close price,ATVI_SHE,ATVI_TA,ATVI_TL,market cap,PB Ratio
1993-10-25,0.94,,,,,
1993-10-26,0.86,,,,,
1993-10-27,0.86,,,,,
1993-10-28,0.82,,,,,
1993-10-29,0.83,,,,,
1993-11-01,0.88,,,,,
1993-11-02,0.88,,,,,
1993-11-03,0.96,,,,,
1993-11-04,0.96,,,,,
1993-11-05,1.0,,,,,
1993-11-08,1.0,,,,,
1993-11-09,0.88,,,,,
1993-11-10,0.9,,,,,
1993-11-11,0.9,,,,,
1993-11-12,0.9,,,,,
1993-11-15,0.9,,,,,
1993-11-16,1.02,,,,,
1993-11-17,0.92,,,,,
1993-11-18,0.92,,,,,
1993-11-19,0.89,,,,,
1993-11-22,0.95,,,,,
1993-11-23,0.92,,,,,
1993-11-24,0.9,,,,,
1993-11-26,0.9,,,,,
1993-11-29,0.96,,,,,
1993-11-30,0.96,,,,,
1993-12-01,0.96,,,,,
1993-12-02,0.94,,,,,
1993-12-03,0.92,,,,,
1993-12-06,0.92,,,,,
1993-12-07,0.88,,,,,
1993-12-08,0.88,,,,,
1993-12-09,0.88,,,,,
1993-12-10,0.85,,,,,
1993-12-13,0.88,,,,,
1993-12-14,0.85,,,,,
1993-12-15,0.86,,,,,
1993-12-16,0.85,,,,,
1993-12-17,0.85,,,,,
1993-12-20,0.9,,,,,
1993-12-21,0.9,,,,,
1993-12-22,0.9,,,,,
1993-12-23,0.85,,,,,
1993-12-27,0.94,,,,,
1993-12-28,1.0,,,,,
1993-12-29,1.13,,,,,
1993-12-30,1.1,,,,,
1993-12-31,1.1,,,,,
1994-01-03,1.17,,,,,
1994-01-04,1.1,,,,,
1994-01-05,1.17,,,,,
1994-01-06,1.11,,,,,
1994-01-07,1.09,,,,,
1994-01-10,1.08,,,,,
1994-01-11,1.06,,,,,
1994-01-12,1.1,,,,,
1994-01-13,1.07,,,,,
1994-01-14,1.1,,,,,
1994-01-17,1.1,,,,,
1994-01-18,1.02,,,,,
1994-01-19,1.08,,,,,
1994-01-20,0.92,,,,,
1994-01-21,0.88,,,,,
1994-01-24,0.81,,,,,
1994-01-25,0.71,,,,,
1994-01-26,0.81,,,,,
1994-01-27,0.9,,,,,
1994-01-28,0.92,,,,,
1994-01-31,0.92,,,,,
1994-02-01,0.81,,,,,
1994-02-02,0.92,,,,,
1994-02-03,0.86,,,,,
1994-02-04,0.85,,,,,
1994-02-07,0.88,,,,,
1994-02-08,0.88,,,,,
1994-02-09,0.94,,,,,
1994-02-10,0.83,,,,,
1994-02-11,0.94,,,,,
1994-02-14,0.94,,,,,
1994-02-15,0.94,,,,,
1994-02-16,0.83,,,,,
1994-02-17,0.83,,,,,
1994-02-18,0.98,,,,,
1994-02-22,0.98,,,,,
1994-02-23,0.83,,,,,
1994-02-24,0.83,,,,,
1994-02-25,0.83,,,,,
1994-02-28,0.96,,,,,
1994-03-01,0.96,,,,,
1994-03-02,0.88,,,,,
1994-03-03,0.88,,,,,
1994-03-04,0.81,,,,,
1994-03-07,0.83,,,,,
1994-03-08,0.81,,,,,
1994-03-09,0.81,,,,,
1994-03-10,0.81,,,,,
1994-03-11,0.92,,,,,
1994-03-14,0.79,,,,,
1994-03-15,0.79,,,,,
1994-03-16,0.83,,,,,
1994-03-17,0.75,,,,,
1994-03-18,0.71,,,,,
1994-03-21,0.69,,,,,
1994-03-22,0.73,,,,,
1994-03-23,0.77,,,,,
1994-03-24,0.75,,,,,
1994-03-25,0.69,,,,,
1994-03-28,0.69,,,,,
1994-03-29,0.69,,,,,
1994-03-30,0.75,,,,,
1994-03-31,0.72,,,,,
1994-04-04,0.72,,,,,
1994-04-05,0.75,,,,,
1994-04-06,0.75,,,,,
1994-04-07,0.75,,,,,
1994-04-08,0.71,,,,,
1994-04-11,0.75,,,,,
1994-04-12,0.67,,,,,
1994-04-13,0.72,,,,,
1994-04-14,0.67,,,,,
1994-04-15,0.63,,,,,
1994-04-18,0.58,,,,,
1994-04-19,0.58,,,,,
1994-04-20,0.58,,,,,
1994-04-21,0.49,,,,,
1994-04-22,0.49,,,,,
1994-04-25,0.49,,,,,
