date,EBAY,dcf,Deviation
1999-09-22,7.85,,
1999-09-23,7.27,,
1999-09-24,7.68,,
1999-09-27,7.3,,
1999-09-28,7.26,,
1999-09-29,7.31,,
1999-09-30,7.42,,
1999-10-01,7.27,,
1999-10-04,7.33,,
1999-10-05,7.43,,
1999-10-06,7.98,,
1999-10-07,7.9,,
1999-10-08,7.95,,
1999-10-11,7.88,,
1999-10-12,7.62,,
1999-10-13,7.21,,
1999-10-14,7.45,,
1999-10-15,7.06,,
1999-10-18,6.81,,
1999-10-19,7.03,,
1999-10-20,7.67,,
1999-10-21,7.81,,
1999-10-22,7.5,,
1999-10-25,7.94,,
1999-10-26,8.0,,
1999-10-27,7.3,,
1999-10-28,7.16,,
1999-10-29,7.11,,
1999-11-01,7.21,,
1999-11-02,6.9,,
1999-11-03,6.68,,
1999-11-04,6.84,,
1999-11-05,7.01,,
1999-11-08,7.21,,
1999-11-09,7.1,,
1999-11-10,7.01,,
1999-11-11,7.0,,
1999-11-12,7.2,,
1999-11-15,7.4,,
1999-11-16,7.69,,
1999-11-17,7.42,,
1999-11-18,8.01,,
1999-11-19,7.68,,
1999-11-22,8.12,,
1999-11-23,8.82,,
1999-11-24,9.44,,
1999-11-26,9.32,,
1999-11-29,8.92,,
1999-11-30,8.68,,
1999-12-01,8.42,,
1999-12-02,8.79,,
1999-12-03,9.4,,
1999-12-06,9.29,,
1999-12-07,8.61,,
1999-12-08,8.55,,
1999-12-09,8.45,,
1999-12-10,8.65,,
1999-12-13,8.5,,
1999-12-14,7.92,,
1999-12-15,7.67,,
1999-12-16,7.84,,
1999-12-17,7.91,,
1999-12-20,7.84,,
1999-12-21,7.6,,
1999-12-22,7.87,,
1999-12-23,7.49,,
1999-12-27,7.05,,
1999-12-28,7.36,,
1999-12-29,7.55,,
1999-12-30,7.1,,
1999-12-31,6.59,,
2000-01-03,7.43,,
2000-01-04,6.73,,
2000-01-05,7.18,,
2000-01-06,7.1,,
2000-01-07,7.09,,
2000-01-10,7.48,,
2000-01-11,7.32,,
2000-01-12,6.86,,
2000-01-13,7.25,,
2000-01-14,7.04,,
2000-01-18,7.34,,
2000-01-19,7.56,,
2000-01-20,8.15,,
2000-01-21,7.92,,
2000-01-24,7.17,,
2000-01-25,7.23,,
2000-01-26,8.08,,
2000-01-27,8.1,,
2000-01-28,7.76,,
2000-01-31,7.89,,
2000-02-01,7.94,,
2000-02-02,7.94,,
2000-02-03,8.68,,
2000-02-04,8.84,,
2000-02-07,8.92,,
2000-02-08,8.93,,
2000-02-09,8.63,,
2000-02-10,8.54,,
2000-02-11,8.07,,
2000-02-14,8.11,,
2000-02-15,7.81,,
2000-02-16,7.4,,
2000-02-17,7.64,,
2000-02-18,7.22,,
2000-02-22,7.08,,
2000-02-23,8.15,,
2000-02-24,8.63,,
2000-02-25,7.93,,
2000-02-28,7.63,,
2000-02-29,7.54,,
2000-03-01,7.85,,
2000-03-02,7.9,,
2000-03-03,7.87,,
2000-03-06,8.5,,
2000-03-07,8.57,,
2000-03-08,9.68,,
2000-03-09,9.6,,
2000-03-10,10.17,,
2000-03-13,11.03,,
2000-03-14,11.1,,
2000-03-15,9.97,,
2000-03-16,11.55,,
2000-03-17,11.52,,
2000-03-20,10.32,,
2000-03-21,11.28,,
2000-03-22,12.24,,
2000-03-23,11.76,,
2000-03-24,12.82,,
2000-03-27,12.62,,
2000-03-28,11.77,,
2000-03-29,10.47,,
2000-03-30,10.9,,
2000-03-31,9.26,,
2000-04-03,7.54,,
2000-04-04,8.79,,
2000-04-05,8.73,,
2000-04-06,9.57,,
2000-04-07,9.52,,
2000-04-10,8.19,,
2000-04-11,8.18,,
2000-04-12,7.54,,
2000-04-13,7.3,,
2000-04-14,7.34,,
2000-04-17,7.54,,
2000-04-18,8.57,,
2000-04-19,7.91,,
2000-04-20,7.9,,
2000-04-24,7.46,,
2000-04-25,8.08,,
2000-04-26,7.85,,
2000-04-27,8.52,,
2000-04-28,8.37,,
2000-05-01,8.19,,
2000-05-02,7.54,,
2000-05-03,7.37,,
2000-05-04,7.2,,
2000-05-05,7.05,,
2000-05-08,6.76,,
2000-05-09,6.38,,
2000-05-10,5.84,,
2000-05-11,6.19,,
2000-05-12,6.38,,
2000-05-15,6.71,,
2000-05-16,7.1,,
2000-05-17,6.74,,
2000-05-18,6.53,,
2000-05-19,6.22,,
2000-05-22,7.16,,
2000-05-23,6.1,,
2000-05-24,6.84,,
2000-05-25,6.37,,
2000-05-26,6.52,,
2000-05-30,7.05,,
2000-05-31,6.58,,
2000-06-01,7.09,,
2000-06-02,8.12,,
2000-06-05,7.94,,
2000-06-06,7.56,,
2000-06-07,7.96,,
2000-06-08,7.54,,
2000-06-09,7.7,,
2000-06-12,7.03,,
2000-06-13,7.15,,
2000-06-14,6.6,,
2000-06-15,6.74,,
2000-06-16,6.43,,
2000-06-19,6.3,,
2000-06-20,6.56,,
2000-06-21,6.5,,
2000-06-22,6.12,,
2000-06-23,5.67,,
2000-06-26,5.52,,
2000-06-27,5.52,,
2000-06-28,5.47,,
2000-06-29,5.44,,
2000-06-30,5.71,,
2000-07-03,5.56,,
2000-07-05,5.32,,
2000-07-06,5.37,,
2000-07-07,5.23,,
2000-07-10,5.06,,
2000-07-11,4.62,,
2000-07-12,5.54,,
2000-07-13,5.62,,
2000-07-14,6.44,,
2000-07-17,6.33,,
2000-07-18,6.05,,
2000-07-19,5.98,,
2000-07-20,6.42,,
2000-07-21,6.18,,
2000-07-24,5.8,,
2000-07-25,5.92,,
2000-07-26,5.54,,
2000-07-27,5.23,,
2000-07-28,4.93,,
2000-07-31,5.26,,
2000-08-01,5.11,,
2000-08-02,5.14,,
2000-08-03,5.26,,
2000-08-04,5.34,,
2000-08-07,5.26,,
2000-08-08,5.29,,
2000-08-09,5.25,,
2000-08-10,5.14,,
2000-08-11,5.1,,
2000-08-14,5.07,,
2000-08-15,5.46,,
2000-08-16,6.05,,
2000-08-17,6.64,,
2000-08-18,5.79,,
2000-08-21,5.91,,
2000-08-22,5.97,,
2000-08-23,6.08,,
2000-08-24,6.46,,
2000-08-25,6.54,,
2000-08-28,6.62,,
2000-08-29,6.43,,
2000-08-30,6.42,,
2000-08-31,6.52,,
2000-09-01,6.62,,
2000-09-05,7.1,,
2000-09-06,6.9,,
2000-09-07,7.01,,
2000-09-08,6.92,,
2000-09-11,6.81,,
2000-09-12,6.54,,
2000-09-13,6.58,,
2000-09-14,7.2,,
2000-09-15,7.1,,
2000-09-18,6.95,,
2000-09-19,6.91,,
2000-09-20,8.06,,
2000-09-21,7.49,,
2000-09-22,7.56,,
2000-09-25,7.62,,
2000-09-26,7.44,,
2000-09-27,6.68,,
2000-09-28,7.27,,
2000-09-29,7.23,,
2000-10-02,7.04,,
2000-10-03,6.52,,
2000-10-04,6.8,,
2000-10-05,6.72,,
2000-10-06,6.25,,
2000-10-09,6.41,,
2000-10-10,6.1,,
2000-10-11,5.58,,
2000-10-12,5.38,,
2000-10-13,5.88,,
2000-10-16,6.27,,
2000-10-17,5.55,,
2000-10-18,5.62,,
2000-10-19,6.02,,
2000-10-20,6.11,,
2000-10-23,6.27,,
2000-10-24,5.69,,
2000-10-25,5.69,,
2000-10-26,5.52,,
2000-10-27,5.41,,
2000-10-30,5.18,,
2000-10-31,5.42,,
2000-11-01,5.68,,
2000-11-02,6.04,,
2000-11-03,5.77,,
2000-11-06,5.72,,
2000-11-07,5.96,,
2000-11-08,5.43,,
2000-11-09,5.12,,
2000-11-10,4.85,,
2000-11-13,4.51,,
2000-11-14,5.02,,
2000-11-15,4.82,,
2000-11-16,4.51,,
2000-11-17,4.57,,
2000-11-20,3.63,,
2000-11-21,3.32,,
2000-11-22,3.46,,
2000-11-24,3.89,,
2000-11-27,4.02,,
2000-11-28,3.79,,
2000-11-29,3.91,,
2000-11-30,3.61,,
2000-12-01,3.66,,
2000-12-04,3.4,,
2000-12-05,4.16,,
2000-12-06,3.82,,
2000-12-07,3.68,,
2000-12-08,4.06,,
2000-12-11,4.58,,
2000-12-12,4.31,,
2000-12-13,4.13,,
2000-12-14,3.89,,
2000-12-15,4.0,,
2000-12-18,4.03,,
2000-12-19,3.4,,
2000-12-20,2.94,,
2000-12-21,2.99,,
2000-12-22,3.68,,
2000-12-26,3.65,,
2000-12-27,3.71,,
2000-12-28,3.98,,
2000-12-29,3.47,,
2001-01-02,3.18,,
2001-01-03,4.14,,
2001-01-04,3.72,,
2001-01-05,3.22,,
2001-01-08,3.22,,
2001-01-09,3.51,,
2001-01-10,4.14,,
2001-01-11,4.31,,
2001-01-12,4.22,,
2001-01-16,4.61,,
2001-01-17,4.55,,
2001-01-18,4.93,,
2001-01-19,5.27,,
2001-01-22,5.2,,
2001-01-23,5.51,,
2001-01-24,5.72,,
2001-01-25,5.24,,
2001-01-26,5.25,,
2001-01-29,5.5,,
2001-01-30,5.6,,
2001-01-31,5.2,,
2001-02-01,5.08,,
2001-02-02,4.86,,
2001-02-05,4.91,,
2001-02-06,4.93,,
2001-02-07,4.86,,
2001-02-08,4.96,,
2001-02-09,4.69,,
2001-02-12,4.97,,
2001-02-13,4.99,,
2001-02-14,5.28,,
2001-02-15,5.31,,
2001-02-16,5.13,,
2001-02-20,4.69,,
2001-02-21,4.81,,
2001-02-22,4.69,,
2001-02-23,4.68,,
2001-02-26,4.77,,
2001-02-27,4.43,,
2001-02-28,4.03,,
2001-03-01,3.95,,
2001-03-02,3.97,,
2001-03-05,4.0,,
2001-03-06,4.24,,
2001-03-07,4.47,,
2001-03-08,4.12,,
2001-03-09,3.58,,
2001-03-12,3.32,,
2001-03-13,3.62,,
2001-03-14,3.59,,
2001-03-15,3.64,,
2001-03-16,3.42,,
2001-03-19,3.9,,
2001-03-20,3.72,,
2001-03-21,3.38,,
2001-03-22,3.85,,
2001-03-23,3.91,,
2001-03-26,4.04,,
2001-03-27,4.21,,
2001-03-28,3.81,,
2001-03-29,3.59,,
2001-03-30,3.81,,
2001-04-02,3.72,,
2001-04-03,3.23,,
2001-04-04,3.2,,
2001-04-05,3.66,,
2001-04-06,3.74,,
2001-04-09,4.0,,
2001-04-10,4.15,,
2001-04-11,4.12,,
2001-04-12,4.38,,
2001-04-16,4.3,,
2001-04-17,4.53,,
2001-04-18,4.81,,
2001-04-19,5.26,,
2001-04-20,5.33,,
2001-04-23,4.94,,
2001-04-24,4.69,,
2001-04-25,5.09,,
2001-04-26,4.84,,
2001-04-27,4.93,,
2001-04-30,5.31,,
2001-05-01,5.71,,
2001-05-02,5.65,,
2001-05-03,5.42,,
2001-05-04,5.51,,
2001-05-07,5.3,,
2001-05-08,5.53,,
2001-05-09,5.59,,
2001-05-10,5.71,,
2001-05-11,5.6,,
2001-05-14,5.81,,
2001-05-15,5.9,,
2001-05-16,6.09,,
2001-05-17,6.58,,
2001-05-18,6.59,,
2001-05-21,6.74,,
2001-05-22,6.76,,
2001-05-23,6.41,,
2001-05-24,6.66,,
2001-05-25,6.54,,
2001-05-29,6.29,,
2001-05-30,6.3,,
2001-05-31,6.37,,
2001-06-01,6.44,,
2001-06-04,6.59,,
2001-06-05,6.81,,
2001-06-06,6.79,,
2001-06-07,6.84,,
2001-06-08,6.69,,
2001-06-11,6.61,,
2001-06-12,6.68,,
2001-06-13,6.5,,
2001-06-14,6.74,,
2001-06-15,6.85,,
2001-06-18,6.63,,
2001-06-19,6.64,,
2001-06-20,7.31,,
2001-06-21,7.35,,
2001-06-22,7.13,,
2001-06-25,7.47,,
2001-06-26,7.19,,
2001-06-27,7.22,,
2001-06-28,7.36,,
2001-06-29,7.21,,
2001-07-02,7.17,,
2001-07-03,7.28,,
2001-07-05,7.0,,
2001-07-06,6.86,,
2001-07-09,6.78,,
2001-07-10,6.34,,
2001-07-11,6.33,,
2001-07-12,7.04,,
2001-07-13,7.05,,
2001-07-16,6.93,,
2001-07-17,7.1,,
2001-07-18,7.0,,
2001-07-19,6.78,,
2001-07-20,7.03,,
2001-07-23,6.84,,
2001-07-24,6.49,,
2001-07-25,6.48,,
2001-07-26,6.82,,
2001-07-27,6.69,,
2001-07-30,6.42,,
2001-07-31,6.58,,
2001-08-01,6.48,,
2001-08-02,6.4,,
2001-08-03,6.77,,
2001-08-06,6.68,,
2001-08-07,6.77,,
2001-08-08,6.56,,
2001-08-09,6.61,,
2001-08-10,6.43,,
2001-08-13,6.39,,
2001-08-14,6.46,,
2001-08-15,6.31,,
2001-08-16,6.42,,
2001-08-17,6.21,,
2001-08-20,6.37,,
2001-08-21,6.09,,
2001-08-22,5.99,,
2001-08-23,5.79,,
2001-08-24,6.21,,
2001-08-27,5.93,,
2001-08-28,5.68,,
2001-08-29,5.67,,
2001-08-30,5.84,,
2001-08-31,5.92,,
2001-09-04,5.73,,
2001-09-05,5.75,,
2001-09-06,5.8,,
2001-09-07,5.57,,
2001-09-10,5.74,,
2001-09-17,5.2,,
2001-09-18,5.26,,
2001-09-19,5.09,,
2001-09-20,4.73,,
2001-09-21,4.61,,
2001-09-24,4.92,,
2001-09-25,4.93,,
2001-09-26,4.63,,
2001-09-27,4.75,,
2001-09-28,4.81,,
2001-10-01,4.94,,
2001-10-02,5.0,,
2001-10-03,5.26,,
2001-10-04,5.53,,
2001-10-05,5.62,,
2001-10-08,5.83,,
2001-10-09,5.72,,
2001-10-10,5.98,,
2001-10-11,6.25,,
2001-10-12,6.2,,
2001-10-15,6.48,,
2001-10-16,6.48,,
2001-10-17,6.01,,
2001-10-18,6.21,,
2001-10-19,5.47,,
2001-10-22,5.59,,
2001-10-23,5.85,,
2001-10-24,6.02,,
2001-10-25,6.22,,
2001-10-26,6.0,,
2001-10-29,5.53,,
2001-10-30,5.62,,
2001-10-31,5.52,,
2001-11-01,5.6,,
2001-11-02,5.44,,
2001-11-05,5.67,,
2001-11-06,5.86,,
2001-11-07,5.95,,
2001-11-08,5.82,,
2001-11-09,5.99,,
2001-11-12,6.07,,
2001-11-13,6.3,,
2001-11-14,6.54,,
2001-11-15,6.32,,
2001-11-16,6.31,,
2001-11-19,6.54,,
2001-11-20,6.22,,
2001-11-21,6.4,,
2001-11-23,6.48,,
2001-11-26,6.86,,
2001-11-27,6.82,,
2001-11-28,6.85,,
2001-11-29,6.97,,
2001-11-30,7.16,,
2001-12-03,7.06,,
2001-12-04,7.36,,
2001-12-05,7.26,,
2001-12-06,7.38,,
2001-12-07,7.15,,
2001-12-10,7.05,,
2001-12-11,7.38,,
2001-12-12,7.31,,
2001-12-13,6.96,,
2001-12-14,7.01,,
2001-12-17,7.29,,
2001-12-18,7.03,,
2001-12-19,6.97,,
2001-12-20,6.69,,
2001-12-21,6.84,,
2001-12-24,6.71,,
2001-12-26,6.98,,
2001-12-27,6.96,,
2001-12-28,7.15,,
2001-12-31,7.04,,
2002-01-02,6.96,,
2002-01-03,7.15,,
2002-01-04,7.21,,
2002-01-07,7.03,,
2002-01-08,7.11,,
2002-01-09,7.04,,
2002-01-10,6.94,,
2002-01-11,6.72,,
2002-01-14,6.65,,
2002-01-15,6.74,,
2002-01-16,6.31,,
2002-01-17,6.48,,
2002-01-18,6.33,,
2002-01-22,6.26,,
2002-01-23,6.22,,
2002-01-24,6.3,,
2002-01-25,6.38,,
2002-01-28,6.28,,
2002-01-29,6.24,,
2002-01-30,6.07,,
2002-01-31,6.21,,
2002-02-01,6.11,,
2002-02-04,5.85,,
2002-02-05,5.73,,
2002-02-06,5.81,,
2002-02-07,5.78,,
2002-02-08,6.17,,
2002-02-11,6.03,,
2002-02-12,6.11,,
2002-02-13,6.17,,
2002-02-14,6.31,,
2002-02-15,6.2,,
2002-02-19,5.62,,
2002-02-20,5.72,,
2002-02-21,5.68,,
2002-02-22,5.49,,
2002-02-25,5.7,,
2002-02-26,5.6,,
2002-02-27,5.17,,
2002-02-28,5.48,,
2002-03-01,5.77,,
2002-03-04,6.26,,
2002-03-05,6.18,,
2002-03-06,6.16,,
2002-03-07,6.06,,
2002-03-08,6.36,,
2002-03-11,6.36,,
2002-03-12,6.17,,
2002-03-13,5.98,,
2002-03-14,5.96,,
2002-03-15,6.07,,
2002-03-18,6.08,,
2002-03-19,6.11,,
2002-03-20,5.93,,
2002-03-21,6.16,,
2002-03-22,6.23,,
2002-03-25,6.04,,
2002-03-26,6.0,,
2002-03-27,6.01,,
2002-03-28,5.96,,
2002-04-01,5.94,7.804812998655626,-0.2389311568357677
2002-04-02,5.78,7.634812998655626,-0.24294151002548847
2002-04-03,5.61,7.584812998655626,-0.2603640984959883
2002-04-04,5.56,7.614812998655626,-0.2698441838320125
2002-04-05,5.59,7.824812998655626,-0.2856059306515808
2002-04-08,5.8,7.624812998655626,-0.23932560693322835
2002-04-09,5.6,7.684812998655627,-0.27129001044271894
2002-04-10,5.66,7.374812998655626,-0.23252291264445946
2002-04-11,5.35,7.714812998655626,-0.30652888139579215
2002-04-12,5.69,7.844812998655626,-0.2746799699399971
2002-04-15,5.82,7.924812998655626,-0.2655978127197056
2002-04-16,5.9,7.804812998655626,-0.24405619955067837
2002-04-17,5.78,7.6048129986556265,-0.23995501256614926
2002-04-18,5.58,7.744812998655626,-0.27951778810300554
2002-04-19,5.72,7.674812998655626,-0.25470496792534814
2002-04-22,5.65,7.544812998655626,-0.2511411480964808
2002-04-23,5.52,7.424812998655626,-0.2565469324278633
2002-04-24,5.4,7.474812998655626,-0.2775739003810247
2002-04-25,5.45,7.254812998655627,-0.24877457199655906
2002-04-26,5.23,7.374812998655626,-0.29082947581811347
2002-04-29,5.35,7.614812998655626,-0.29742201142109115
2002-04-30,5.59,7.714812998655626,-0.2754198966359772
2002-05-01,5.69,7.5248129986556265,-0.2438350293865683
2002-05-02,5.5,7.424812998655626,-0.2592406029625449
2002-05-03,5.4,7.344812998655626,-0.2647872721894483
2002-05-06,5.32,7.264812998655626,-0.26770310523003393
2002-05-07,5.24,7.704812998655626,-0.319905622509683
2002-05-08,5.68,7.674812998655626,-0.2599168212964995
2002-05-09,5.65,7.6048129986556265,-0.25704944999978263
2002-05-10,5.58,7.754812998655626,-0.2804468655830452
2002-05-13,5.73,7.984812998655626,-0.28238770263439616
2002-05-14,5.96,8.054812998655626,-0.2600697246485123
2002-05-15,6.03,7.934812998655627,-0.24005770507488378
2002-05-16,5.91,7.954812998655626,-0.2570535597758492
2002-05-17,5.93,7.934812998655627,-0.25266039653301176
2002-05-20,5.91,7.824812998655626,-0.24471038464236883
2002-05-21,5.8,7.834812998655626,-0.25971430320095445
2002-05-22,5.81,8.194812998655626,-0.29101493823554725
2002-05-23,6.17,8.054812998655626,-0.2339983558861276
2002-05-24,6.03,7.914812998655626,-0.23813740122170568
2002-05-28,5.89,8.004812998655627,-0.26419267995527196
2002-05-29,5.98,7.964812998655626,-0.24919768976253942
2002-05-30,5.94,7.834812998655626,-0.241845338105805
2002-05-31,5.81,7.824812998655626,-0.2574902427702477
2002-06-03,5.8,7.824812998655626,-0.2587682285830355
2002-06-04,5.8,7.8148129986556265,-0.2578197327309345
2002-06-05,5.79,7.804812998655626,-0.25815006701668264
2002-06-06,5.78,7.984812998655626,-0.276125815222829
2002-06-07,5.96,7.984812998655626,-0.253583020541187
2002-06-10,5.96,7.894812998655627,-0.24507394905808377
2002-06-11,5.87,8.164812998655627,-0.2810613052660824
2002-06-12,6.14,8.234812998655626,-0.2543850114140558
2002-06-13,6.21,8.234812998655626,-0.2458845148015124
2002-06-14,6.21,8.664812998655627,-0.2833082490108556
2002-06-17,6.64,8.564812998655626,-0.22473497074107207
2002-06-18,6.54,8.524812998655626,-0.23282774636448145
2002-06-19,6.5,8.384812998655626,-0.22478891287829872
2002-06-20,6.36,8.314812998655626,-0.2351000556442686
2002-06-21,6.29,8.624812998655626,-0.2707088256892711
2002-06-24,6.6,8.374812998655626,-0.21192270190875062
2002-06-25,6.35,8.404812998655625,-0.24448051360384804
2002-06-26,6.38,8.484812998655626,-0.2480682837664333
2002-06-27,6.46,8.504812998655627,-0.24043009516833058
2002-06-28,6.48,8.323367725554284,-0.22146897582030445
2002-07-01,6.16,8.233367725554285,-0.25182498761947403
2002-07-02,6.07,8.383367725554285,-0.27594730438731063
2002-07-03,6.22,8.533367725554285,-0.2710966877270041
2002-07-05,6.37,8.083367725554286,-0.2119621157574887
2002-07-08,5.92,8.163367725554286,-0.2748090985209126
2002-07-09,6.0,8.353367725554286,-0.2817268199932056
2002-07-10,6.19,8.513367725554286,-0.27290818398226957
2002-07-11,6.35,8.583367725554286,-0.2601971390442861
2002-07-12,6.42,8.563367725554285,-0.25029495336959273
2002-07-15,6.4,8.553367725554285,-0.25175671088252427
2002-07-16,6.39,8.643367725554285,-0.2607048313925323
2002-07-17,6.48,8.523367725554285,-0.23973713106709849
2002-07-18,6.36,8.153367725554284,-0.21995423068353848
2002-07-19,5.99,8.063367725554285,-0.25713421440317097
2002-07-22,5.9,7.753367725554285,-0.23904034880814173
2002-07-23,5.59,8.033367725554285,-0.3041523566488671
2002-07-24,5.87,7.7733677255542855,-0.24485754344248067
2002-07-25,5.61,7.943367725554285,-0.29375043510168897
2002-07-26,5.78,8.243367725554286,-0.29883026058850826
2002-07-29,6.08,8.293367725554285,-0.26688406915012985
2002-07-30,6.13,8.173367725554286,-0.2500031558797524
2002-07-31,6.01,7.973367725554286,-0.24624070946355336
