date,WELL,dcf,Deviation
1980-03-19,6.5,,
1980-03-20,6.5,,
1980-03-21,6.5,,
1980-03-24,6.5,,
1980-03-25,6.5,,
1980-03-26,6.33,,
1980-03-27,6.33,,
1980-03-28,6.33,,
1980-03-31,6.33,,
1980-04-01,6.33,,
1980-04-02,6.33,,
1980-04-03,6.33,,
1980-04-07,6.33,,
1980-04-08,6.17,,
1980-04-09,6.17,,
1980-04-10,6.17,,
1980-04-11,6.17,,
1980-04-14,6.17,,
1980-04-15,6.17,,
1980-04-16,6.17,,
1980-04-17,6.17,,
1980-04-18,6.17,,
1980-04-21,6.17,,
1980-04-22,6.5,,
1980-04-23,6.5,,
1980-04-24,6.5,,
1980-04-25,6.5,,
1980-04-28,6.5,,
1980-04-29,6.67,,
1980-04-30,6.67,,
1980-05-01,7.0,,
1980-05-02,7.0,,
1980-05-05,7.0,,
1980-05-06,7.0,,
1980-05-07,7.17,,
1980-05-08,7.17,,
1980-05-09,7.17,,
1980-05-12,7.17,,
1980-05-13,7.17,,
1980-05-14,7.33,,
1980-05-15,7.33,,
1980-05-16,7.33,,
1980-05-19,7.33,,
1980-05-20,7.17,,
1980-05-21,7.17,,
1980-05-22,7.33,,
1980-05-23,7.5,,
1980-05-27,7.5,,
1980-05-28,7.83,,
1980-05-29,7.83,,
1980-05-30,7.83,,
1980-06-02,7.83,,
1980-06-03,7.83,,
1980-06-04,7.83,,
1980-06-05,7.83,,
1980-06-06,8.0,,
1980-06-09,8.0,,
1980-06-10,8.0,,
1980-06-11,8.0,,
1980-06-12,8.0,,
1980-06-13,8.0,,
1980-06-16,8.17,,
1980-06-17,8.0,,
1980-06-18,7.83,,
1980-06-19,7.83,,
1980-06-20,7.83,,
1980-06-23,7.83,,
1980-06-24,7.83,,
1980-06-25,7.83,,
1980-06-26,7.83,,
1980-06-27,7.83,,
1980-06-30,7.83,,
1980-07-01,8.17,,
1980-07-02,8.5,,
1980-07-03,8.5,,
1980-07-07,8.5,,
1980-07-08,8.5,,
1980-07-09,8.5,,
1980-07-10,8.17,,
1980-07-11,8.17,,
1980-07-14,8.17,,
1980-07-15,8.17,,
1980-07-16,8.17,,
1980-07-17,8.17,,
1980-07-18,8.17,,
1980-07-21,8.17,,
1980-07-22,8.17,,
1980-07-23,8.17,,
1980-07-24,8.17,,
1980-07-25,8.17,,
1980-07-28,8.17,,
1980-07-29,8.17,,
1980-07-30,8.17,,
1980-07-31,8.17,,
1980-08-01,8.33,,
1980-08-04,8.33,,
1980-08-05,8.33,,
1980-08-06,8.33,,
1980-08-07,8.33,,
1980-08-08,8.33,,
1980-08-11,8.33,,
1980-08-12,8.33,,
1980-08-13,8.33,,
1980-08-14,8.0,,
1980-08-15,8.0,,
1980-08-18,8.0,,
1980-08-19,7.83,,
1980-08-20,7.83,,
1980-08-21,7.83,,
1980-08-22,7.83,,
1980-08-25,7.83,,
1980-08-26,7.83,,
1980-08-27,7.83,,
1980-08-28,7.83,,
1980-08-29,7.83,,
1980-09-02,7.83,,
1980-09-03,7.83,,
1980-09-04,7.83,,
1980-09-05,7.83,,
1980-09-08,7.83,,
1980-09-09,7.5,,
1980-09-10,7.5,,
1980-09-11,7.5,,
