date,STZ,dcf,Deviation
1992-03-17,1.54,,
1992-03-18,1.6,,
1992-03-19,1.64,,
1992-03-20,1.66,,
1992-03-23,1.67,,
1992-03-24,1.71,,
1992-03-25,1.72,,
1992-03-26,1.71,,
1992-03-27,1.7,,
1992-03-30,1.69,,
1992-03-31,1.69,,
1992-04-01,1.69,,
1992-04-02,1.68,,
1992-04-03,1.67,,
1992-04-06,1.67,,
1992-04-07,1.67,,
1992-04-08,1.61,,
1992-04-09,1.68,,
1992-04-10,1.69,,
1992-04-13,1.85,,
1992-04-14,1.9,,
1992-04-15,1.88,,
1992-04-16,1.82,,
1992-04-20,1.73,,
1992-04-21,1.78,,
1992-04-22,1.79,,
1992-04-23,1.8,,
1992-04-24,1.84,,
1992-04-27,1.82,,
1992-04-28,1.82,,
1992-04-29,1.83,,
1992-04-30,1.9,,
1992-05-01,1.95,,
1992-05-04,1.95,,
1992-05-05,1.95,,
1992-05-06,2.02,,
1992-05-07,2.02,,
1992-05-08,2.02,,
1992-05-11,2.0,,
1992-05-12,2.01,,
1992-05-13,1.98,,
1992-05-14,2.02,,
1992-05-15,2.01,,
1992-05-18,2.01,,
1992-05-19,2.0,,
1992-05-20,2.01,,
1992-05-21,2.01,,
1992-05-22,2.01,,
1992-05-26,1.99,,
1992-05-27,1.98,,
1992-05-28,1.9,,
1992-05-29,1.94,,
1992-06-01,1.94,,
1992-06-02,1.94,,
1992-06-03,1.98,,
1992-06-04,2.0,,
1992-06-05,2.0,,
1992-06-08,2.02,,
1992-06-09,1.98,,
1992-06-10,2.0,,
1992-06-11,2.01,,
1992-06-12,2.0,,
1992-06-15,1.98,,
1992-06-16,1.98,,
1992-06-17,1.94,,
1992-06-18,1.83,,
1992-06-19,1.85,,
1992-06-22,1.83,,
1992-06-23,1.81,,
1992-06-24,1.75,,
1992-06-25,1.73,,
1992-06-26,1.73,,
1992-06-29,1.83,,
1992-06-30,1.83,,
1992-07-01,1.79,,
1992-07-02,1.78,,
1992-07-06,1.73,,
1992-07-07,1.71,,
1992-07-08,1.73,,
1992-07-09,1.72,,
1992-07-10,1.71,,
1992-07-13,1.71,,
1992-07-14,1.7,,
1992-07-15,1.7,,
1992-07-16,1.71,,
1992-07-17,1.69,,
1992-07-20,1.73,,
1992-07-21,1.83,,
1992-07-22,1.8,,
1992-07-23,1.81,,
1992-07-24,1.78,,
1992-07-27,1.78,,
1992-07-28,1.78,,
1992-07-29,1.81,,
1992-07-30,1.78,,
1992-07-31,1.81,,
1992-08-03,1.81,,
1992-08-04,1.81,,
1992-08-05,1.88,,
1992-08-06,1.84,,
1992-08-07,1.83,,
1992-08-10,1.81,,
1992-08-11,1.72,,
1992-08-12,1.72,,
1992-08-13,1.72,,
1992-08-14,1.75,,
1992-08-17,1.69,,
1992-08-18,1.72,,
1992-08-19,1.72,,
1992-08-20,1.72,,
1992-08-21,1.69,,
1992-08-24,1.69,,
1992-08-25,1.72,,
1992-08-26,1.66,,
1992-08-27,1.66,,
1992-08-28,1.69,,
1992-08-31,1.69,,
1992-09-01,1.66,,
1992-09-02,1.63,,
1992-09-03,1.63,,
1992-09-04,1.63,,
1992-09-08,1.63,,
1992-09-09,1.63,,
1992-09-10,1.72,,
1992-09-11,1.67,,
1992-09-14,1.72,,
1992-09-15,1.72,,
1992-09-16,1.66,,
1992-09-17,1.66,,
1992-09-18,1.61,,
1992-09-21,1.63,,
1992-09-22,1.56,,
1992-09-23,1.63,,
1992-09-24,1.63,,
1992-09-25,1.63,,
1992-09-28,1.59,,
1992-09-29,1.56,,
1992-09-30,1.53,,
1992-10-01,1.55,,
1992-10-02,1.53,,
1992-10-05,1.41,,
1992-10-06,1.44,,
1992-10-07,1.5,,
1992-10-08,1.56,,
1992-10-09,1.59,,
1992-10-12,1.63,,
1992-10-13,1.63,,
1992-10-14,1.59,,
1992-10-15,1.53,,
1992-10-16,1.53,,
1992-10-19,1.66,,
1992-10-20,1.63,,
1992-10-21,1.63,,
1992-10-22,1.66,,
1992-10-23,1.63,,
1992-10-26,1.69,,
1992-10-27,1.69,,
1992-10-28,1.78,,
1992-10-29,1.78,,
1992-10-30,1.78,,
1992-11-02,1.8,,
1992-11-03,1.78,,
1992-11-04,1.78,,
1992-11-05,1.84,,
1992-11-06,1.86,,
1992-11-09,1.81,,
1992-11-10,1.81,,
1992-11-11,1.75,,
1992-11-12,1.81,,
1992-11-13,1.81,,
1992-11-16,1.78,,
1992-11-17,1.78,,
1992-11-18,1.77,,
1992-11-19,1.91,,
1992-11-20,1.95,,
1992-11-23,1.94,,
1992-11-24,1.97,,
1992-11-25,1.94,,
1992-11-27,1.97,,
1992-11-30,1.97,,
1992-12-01,1.94,,
1992-12-02,1.94,,
1992-12-03,1.91,,
1992-12-04,1.91,,
1992-12-07,1.91,,
1992-12-08,1.91,,
1992-12-09,1.88,,
1992-12-10,1.84,,
1992-12-11,1.88,,
1992-12-14,1.88,,
1992-12-15,1.88,,
1992-12-16,1.88,,
1992-12-17,1.88,,
1992-12-18,1.83,,
1992-12-21,1.86,,
1992-12-22,1.86,,
1992-12-23,1.94,,
1992-12-24,2.0,,
1992-12-28,1.97,,
1992-12-29,2.06,,
1992-12-30,2.06,,
1992-12-31,2.13,,
1993-01-04,2.13,,
1993-01-05,2.09,,
1993-01-06,2.11,,
1993-01-07,2.09,,
1993-01-08,2.09,,
1993-01-11,2.11,,
1993-01-12,2.08,,
1993-01-13,2.13,,
1993-01-14,2.13,,
1993-01-15,2.09,,
1993-01-18,2.16,,
1993-01-19,2.16,,
1993-01-20,2.16,,
