date,LNC,dcf,Deviation
1980-03-17,9.13,,
1980-03-18,9.09,,
1980-03-19,9.25,,
1980-03-20,9.28,,
1980-03-21,9.16,,
1980-03-24,9.13,,
1980-03-25,9.06,,
1980-03-26,8.91,,
1980-03-27,8.31,,
1980-03-28,8.38,,
1980-03-31,8.44,,
1980-04-01,8.56,,
1980-04-02,8.72,,
1980-04-03,8.59,,
1980-04-07,8.5,,
1980-04-08,8.69,,
1980-04-09,8.72,,
1980-04-10,8.91,,
1980-04-11,9.06,,
1980-04-14,8.88,,
1980-04-15,8.69,,
1980-04-16,8.56,,
1980-04-17,8.69,,
1980-04-18,8.75,,
1980-04-21,8.75,,
1980-04-22,9.03,,
1980-04-23,9.06,,
1980-04-24,9.22,,
1980-04-25,9.22,,
1980-04-28,9.06,,
1980-04-29,9.09,,
1980-04-30,9.09,,
1980-05-01,8.91,,
1980-05-02,9.0,,
1980-05-05,9.0,,
1980-05-06,9.25,,
1980-05-07,9.56,,
1980-05-08,9.41,,
1980-05-09,9.09,,
1980-05-12,9.13,,
1980-05-13,9.06,,
1980-05-14,9.25,,
1980-05-15,9.25,,
1980-05-16,9.22,,
1980-05-19,9.16,,
1980-05-20,9.22,,
1980-05-21,9.22,,
1980-05-22,9.28,,
1980-05-23,9.59,,
1980-05-27,9.63,,
1980-05-28,9.66,,
1980-05-29,9.63,,
1980-05-30,9.69,,
1980-06-02,9.63,,
1980-06-03,9.72,,
1980-06-04,9.81,,
1980-06-05,9.88,,
1980-06-06,10.0,,
1980-06-09,9.94,,
1980-06-10,10.06,,
1980-06-11,10.16,,
1980-06-12,10.25,,
1980-06-13,10.53,,
1980-06-16,10.56,,
1980-06-17,10.66,,
1980-06-18,10.59,,
1980-06-19,10.53,,
1980-06-20,10.44,,
1980-06-23,10.38,,
1980-06-24,10.47,,
1980-06-25,10.56,,
1980-06-26,10.41,,
1980-06-27,10.41,,
1980-06-30,10.31,,
1980-07-01,10.44,,
1980-07-02,10.56,,
1980-07-03,10.44,,
1980-07-07,10.44,,
1980-07-08,10.63,,
1980-07-09,10.63,,
1980-07-10,10.44,,
1980-07-11,10.5,,
1980-07-14,10.63,,
1980-07-15,10.75,,
1980-07-16,10.88,,
1980-07-17,10.75,,
1980-07-18,10.84,,
1980-07-21,10.78,,
1980-07-22,10.75,,
1980-07-23,11.28,,
1980-07-24,11.38,,
1980-07-25,11.06,,
1980-07-28,11.0,,
1980-07-29,10.94,,
1980-07-30,10.81,,
1980-07-31,10.75,,
1980-08-01,10.69,,
1980-08-04,10.94,,
1980-08-05,11.16,,
1980-08-06,11.25,,
1980-08-07,11.38,,
1980-08-08,11.0,,
1980-08-11,10.94,,
1980-08-12,11.06,,
1980-08-13,10.97,,
1980-08-14,11.25,,
1980-08-15,11.19,,
1980-08-18,11.19,,
1980-08-19,10.81,,
1980-08-20,10.66,,
1980-08-21,10.97,,
1980-08-22,11.06,,
1980-08-25,10.88,,
1980-08-26,10.75,,
1980-08-27,10.63,,
