date,APD,dcf,Deviation
1981-03-11,4.73,,
1981-03-12,4.76,,
1981-03-13,4.94,,
1981-03-16,5.23,,
1981-03-17,5.2,,
1981-03-18,5.28,,
1981-03-19,5.39,,
1981-03-20,5.52,,
1981-03-23,5.56,,
1981-03-24,5.51,,
1981-03-25,5.45,,
1981-03-26,5.42,,
1981-03-27,5.25,,
1981-03-30,5.17,,
1981-03-31,5.17,,
1981-04-01,5.26,,
1981-04-02,5.35,,
1981-04-03,5.32,,
1981-04-06,5.28,,
1981-04-07,5.1,,
1981-04-08,5.17,,
1981-04-09,5.3,,
1981-04-10,5.28,,
1981-04-13,5.09,,
1981-04-14,5.06,,
1981-04-15,5.1,,
1981-04-16,5.17,,
1981-04-20,5.19,,
1981-04-21,5.19,,
1981-04-22,5.25,,
1981-04-23,5.32,,
1981-04-24,5.32,,
1981-04-27,5.29,,
1981-04-28,5.19,,
1981-04-29,5.17,,
1981-04-30,5.3,,
1981-05-01,5.39,,
1981-05-04,5.28,,
1981-05-05,5.19,,
1981-05-06,5.28,,
1981-05-07,5.39,,
1981-05-08,5.25,,
1981-05-11,5.17,,
1981-05-12,5.23,,
1981-05-13,5.41,,
1981-05-14,5.39,,
1981-05-15,5.33,,
1981-05-18,5.16,,
1981-05-19,5.17,,
1981-05-20,5.07,,
1981-05-21,4.97,,
1981-05-22,4.93,,
1981-05-26,4.99,,
1981-05-27,5.02,,
1981-05-28,5.0,,
1981-05-29,5.09,,
1981-06-01,5.04,,
1981-06-02,4.96,,
1981-06-03,4.97,,
1981-06-04,4.89,,
1981-06-05,4.99,,
1981-06-08,5.07,,
1981-06-09,5.15,,
1981-06-10,5.1,,
1981-06-11,4.99,,
1981-06-12,5.0,,
1981-06-15,4.86,,
1981-06-16,4.71,,
1981-06-17,4.71,,
1981-06-18,4.74,,
1981-06-19,4.74,,
1981-06-22,4.65,,
1981-06-23,4.74,,
1981-06-24,4.71,,
1981-06-25,4.68,,
1981-06-26,4.63,,
1981-06-29,4.51,,
1981-06-30,4.55,,
1981-07-01,4.52,,
1981-07-02,4.63,,
1981-07-06,4.45,,
1981-07-07,4.45,,
1981-07-08,4.48,,
1981-07-09,4.54,,
1981-07-10,4.5,,
1981-07-13,4.42,,
1981-07-14,4.47,,
1981-07-15,4.54,,
1981-07-16,4.58,,
1981-07-17,4.68,,
1981-07-20,4.6,,
1981-07-21,4.42,,
1981-07-22,4.41,,
1981-07-23,4.41,,
1981-07-24,4.37,,
1981-07-27,4.35,,
1981-07-28,4.29,,
1981-07-29,4.28,,
1981-07-30,4.28,,
1981-07-31,4.31,,
1981-08-03,4.37,,
1981-08-04,4.48,,
1981-08-05,4.5,,
1981-08-06,4.63,,
1981-08-07,4.63,,
1981-08-10,4.61,,
1981-08-11,4.58,,
1981-08-12,4.42,,
1981-08-13,4.47,,
1981-08-14,4.54,,
1981-08-17,4.5,,
1981-08-18,4.39,,
1981-08-19,4.47,,
1981-08-20,4.41,,
1981-08-21,4.38,,
1981-08-24,4.26,,
1981-08-25,4.38,,
1981-08-26,4.34,,
1981-08-27,4.25,,
1981-08-28,4.25,,
1981-08-31,4.18,,
1981-09-01,4.18,,
1981-09-02,4.12,,
1981-09-03,4.03,,
1981-09-04,4.16,,
1981-09-08,4.12,,
1981-09-09,4.15,,
1981-09-10,4.19,,
1981-09-11,4.38,,
1981-09-14,4.34,,
1981-09-15,4.34,,
1981-09-16,4.26,,
1981-09-17,4.21,,
1981-09-18,4.16,,
1981-09-21,4.25,,
1981-09-22,4.16,,
1981-09-23,4.12,,
1981-09-24,4.09,,
1981-09-25,4.02,,
1981-09-28,4.05,,
1981-09-29,4.1,,
1981-09-30,4.06,,
1981-10-01,4.05,,
1981-10-02,4.02,,
1981-10-05,4.09,,
1981-10-06,4.1,,
1981-10-07,4.28,,
1981-10-08,4.42,,
1981-10-09,4.45,,
1981-10-12,4.45,,
1981-10-13,4.5,,
1981-10-14,4.45,,
1981-10-15,4.31,,
1981-10-16,4.28,,
1981-10-19,4.22,,
1981-10-20,4.34,,
1981-10-21,4.42,,
1981-10-22,4.42,,
1981-10-23,4.37,,
1981-10-26,4.39,,
1981-10-27,4.47,,
1981-10-28,4.52,,
1981-10-29,4.48,,
1981-10-30,4.54,,
1981-11-02,4.65,,
1981-11-03,4.6,,
1981-11-04,4.55,,
1981-11-05,4.6,,
1981-11-06,4.55,,
1981-11-09,4.51,,
1981-11-10,4.31,,
1981-11-11,4.35,,
1981-11-12,4.38,,
1981-11-13,4.39,,
1981-11-16,4.39,,
1981-11-17,4.42,,
1981-11-18,4.39,,
1981-11-19,4.39,,
1981-11-20,4.34,,
1981-11-23,4.31,,
1981-11-24,4.37,,
1981-11-25,4.34,,
1981-11-27,4.35,,
1981-11-30,4.22,,
1981-12-01,4.28,,
1981-12-02,4.34,,
1981-12-03,4.34,,
1981-12-04,4.34,,
1981-12-07,4.35,,
1981-12-08,4.32,,
1981-12-09,4.42,,
1981-12-10,4.48,,
1981-12-11,4.47,,
1981-12-14,4.42,,
1981-12-15,4.41,,
1981-12-16,4.38,,
1981-12-17,4.35,,
1981-12-18,4.45,,
1981-12-21,4.42,,
1981-12-22,4.35,,
1981-12-23,4.39,,
1981-12-24,4.38,,
1981-12-28,4.37,,
1981-12-29,4.34,,
1981-12-30,4.34,,
1981-12-31,4.35,,
1982-01-04,4.29,,
1982-01-05,4.31,,
1982-01-06,4.24,,
1982-01-07,4.24,,
1982-01-08,4.25,,
1982-01-11,4.19,,
1982-01-12,4.13,,
1982-01-13,4.09,,
1982-01-14,4.13,,
1982-01-15,4.15,,
1982-01-18,4.05,,
1982-01-19,3.93,,
1982-01-20,3.79,,
1982-01-21,3.92,,
1982-01-22,3.9,,
1982-01-25,3.89,,
1982-01-26,3.96,,
1982-01-27,4.03,,
1982-01-28,4.18,,
1982-01-29,4.06,,
1982-02-01,3.99,,
1982-02-02,3.95,,
1982-02-03,3.89,,
1982-02-04,3.86,,
1982-02-05,3.96,,
1982-02-08,3.97,,
1982-02-09,3.96,,
1982-02-10,4.05,,
1982-02-11,4.05,,
1982-02-12,4.05,,
1982-02-16,4.03,,
1982-02-17,4.03,,
1982-02-18,3.99,,
1982-02-19,3.87,,
1982-02-22,3.76,,
1982-02-23,3.67,,
1982-02-24,3.71,,
1982-02-25,3.69,,
1982-02-26,3.64,,
1982-03-01,3.67,,
1982-03-02,3.69,,
1982-03-03,3.67,,
1982-03-04,3.7,,
1982-03-05,3.7,,
1982-03-08,3.73,,
1982-03-09,3.84,,
1982-03-10,3.9,,
1982-03-11,3.84,,
1982-03-12,3.69,,
1982-03-15,3.71,,
1982-03-16,3.8,,
1982-03-17,3.87,,
1982-03-18,4.0,,
1982-03-19,3.96,,
1982-03-22,4.0,,
1982-03-23,4.13,,
1982-03-24,4.15,,
1982-03-25,4.15,,
1982-03-26,4.12,,
1982-03-29,4.09,,
1982-03-30,4.06,,
1982-03-31,4.05,,
1982-04-01,3.99,,
1982-04-02,3.97,,
1982-04-05,4.03,,
1982-04-06,4.06,,
1982-04-07,4.06,,
1982-04-08,4.09,,
1982-04-12,4.02,,
1982-04-13,4.0,,
1982-04-14,4.0,,
1982-04-15,3.99,,
1982-04-16,4.05,,
1982-04-19,4.09,,
1982-04-20,4.12,,
1982-04-21,4.15,,
1982-04-22,4.24,,
1982-04-23,4.26,,
1982-04-26,4.31,,
1982-04-27,4.26,,
1982-04-28,4.19,,
1982-04-29,3.97,,
1982-04-30,4.08,,
1982-05-03,4.1,,
1982-05-04,4.13,,
1982-05-05,4.12,,
1982-05-06,4.08,,
1982-05-07,4.08,,
1982-05-10,4.06,,
1982-05-11,4.12,,
1982-05-12,4.09,,
1982-05-13,4.09,,
1982-05-14,4.12,,
1982-05-17,4.05,,
1982-05-18,4.0,,
1982-05-19,4.0,,
1982-05-20,3.97,,
1982-05-21,3.99,,
1982-05-24,3.86,,
1982-05-25,3.74,,
1982-05-26,3.69,,
1982-05-27,3.64,,
1982-05-28,3.64,,
1982-06-01,3.44,,
1982-06-02,3.38,,
1982-06-03,3.38,,
1982-06-04,3.34,,
1982-06-07,3.35,,
1982-06-08,3.32,,
1982-06-09,3.32,,
1982-06-10,3.25,,
1982-06-11,3.27,,
1982-06-14,3.19,,
1982-06-15,3.15,,
1982-06-16,3.15,,
1982-06-17,3.06,,
1982-06-18,3.08,,
1982-06-21,3.09,,
1982-06-22,3.21,,
1982-06-23,3.3,,
1982-06-24,3.38,,
1982-06-25,3.35,,
1982-06-28,3.37,,
1982-06-29,3.44,,
1982-06-30,3.51,,
1982-07-01,3.43,,
1982-07-02,3.38,,
1982-07-06,3.4,,
1982-07-07,3.37,,
1982-07-08,3.41,,
1982-07-09,3.58,,
1982-07-12,3.54,,
1982-07-13,3.57,,
1982-07-14,3.67,,
1982-07-15,3.64,,
1982-07-16,3.58,,
1982-07-19,3.57,,
1982-07-20,3.56,,
1982-07-21,3.48,,
1982-07-22,3.35,,
1982-07-23,3.31,,
1982-07-26,3.21,,
1982-07-27,3.17,,
1982-07-28,3.11,,
1982-07-29,3.12,,
1982-07-30,3.12,,
1982-08-02,3.18,,
1982-08-03,3.12,,
1982-08-04,2.93,,
1982-08-05,2.89,,
1982-08-06,2.89,,
1982-08-09,2.85,,
1982-08-10,2.8,,
1982-08-11,2.8,,
1982-08-12,2.78,,
1982-08-13,2.82,,
1982-08-16,2.78,,
1982-08-17,2.88,,
1982-08-18,2.92,,
1982-08-19,2.95,,
1982-08-20,3.09,,
1982-08-23,3.19,,
1982-08-24,3.19,,
1982-08-25,3.35,,
1982-08-26,3.43,,
1982-08-27,3.35,,
1982-08-30,3.21,,
1982-08-31,3.22,,
1982-09-01,3.21,,
1982-09-02,3.32,,
1982-09-03,3.44,,
1982-09-07,3.37,,
1982-09-08,3.4,,
1982-09-09,3.44,,
1982-09-10,3.4,,
1982-09-13,3.37,,
1982-09-14,3.32,,
1982-09-15,3.31,,
1982-09-16,3.34,,
1982-09-17,3.32,,
1982-09-20,3.3,,
1982-09-21,3.32,,
1982-09-22,3.34,,
1982-09-23,3.31,,
1982-09-24,3.3,,
1982-09-27,3.24,,
1982-09-28,3.21,,
1982-09-29,3.14,,
1982-09-30,3.11,,
1982-10-01,3.14,,
1982-10-04,3.09,,
1982-10-05,3.15,,
1982-10-06,3.17,,
1982-10-07,3.28,,
1982-10-08,3.4,,
1982-10-11,3.61,,
1982-10-12,3.54,,
1982-10-13,3.74,,
1982-10-14,3.6,,
1982-10-15,3.67,,
1982-10-18,3.63,,
1982-10-19,3.66,,
1982-10-20,3.82,,
1982-10-21,3.93,,
1982-10-22,3.96,,
1982-10-25,3.74,,
1982-10-26,3.74,,
1982-10-27,3.76,,
1982-10-28,3.77,,
1982-10-29,3.74,,
1982-11-01,3.79,,
1982-11-02,3.8,,
1982-11-03,4.15,,
1982-11-04,4.1,,
1982-11-05,4.26,,
1982-11-08,4.24,,
1982-11-09,4.45,,
1982-11-10,4.6,,
1982-11-11,4.67,,
1982-11-12,4.58,,
1982-11-15,4.52,,
1982-11-16,4.34,,
1982-11-17,4.24,,
1982-11-18,4.31,,
1982-11-19,4.29,,
1982-11-22,4.13,,
1982-11-23,4.06,,
1982-11-24,4.15,,
1982-11-26,4.29,,
1982-11-29,4.25,,
1982-11-30,4.22,,
1982-12-01,4.25,,
1982-12-02,4.09,,
1982-12-03,4.05,,
1982-12-06,4.05,,
1982-12-07,4.05,,
1982-12-08,4.03,,
1982-12-09,3.96,,
1982-12-10,4.02,,
1982-12-13,4.0,,
1982-12-14,3.77,,
1982-12-15,3.7,,
1982-12-16,3.7,,
1982-12-17,3.8,,
1982-12-20,3.82,,
1982-12-21,3.87,,
1982-12-22,3.87,,
1982-12-23,3.89,,
1982-12-27,4.05,,
1982-12-28,4.1,,
1982-12-29,4.15,,
1982-12-30,4.22,,
1982-12-31,4.21,,
1983-01-03,4.1,,
1983-01-04,4.08,,
1983-01-05,4.16,,
1983-01-06,4.51,,
1983-01-07,4.73,,
1983-01-10,4.93,,
1983-01-11,5.1,,
1983-01-12,5.19,,
1983-01-13,5.03,,
1983-01-14,4.93,,
1983-01-17,4.83,,
1983-01-18,4.74,,
1983-01-19,4.65,,
1983-01-20,4.65,,
1983-01-21,4.6,,
1983-01-24,4.44,,
1983-01-25,4.5,,
1983-01-26,4.57,,
1983-01-27,4.7,,
1983-01-28,4.83,,
1983-01-31,4.84,,
1983-02-01,4.93,,
1983-02-02,5.0,,
1983-02-03,5.1,,
1983-02-04,5.09,,
1983-02-07,5.12,,
1983-02-08,5.02,,
1983-02-09,4.93,,
1983-02-10,5.0,,
1983-02-11,5.04,,
1983-02-14,5.16,,
1983-02-15,5.19,,
1983-02-16,5.09,,
1983-02-17,5.02,,
1983-02-18,5.09,,
1983-02-22,5.13,,
1983-02-23,5.03,,
1983-02-24,5.03,,
1983-02-25,5.16,,
1983-02-28,5.13,,
1983-03-01,5.23,,
1983-03-02,5.32,,
1983-03-03,5.43,,
1983-03-04,5.52,,
1983-03-07,5.46,,
1983-03-08,5.28,,
1983-03-09,5.32,,
1983-03-10,5.13,,
1983-03-11,5.07,,
1983-03-14,5.12,,
1983-03-15,5.12,,
1983-03-16,5.1,,
1983-03-17,5.04,,
1983-03-18,5.02,,
1983-03-21,4.94,,
1983-03-22,4.77,,
1983-03-23,5.03,,
1983-03-24,5.02,,
1983-03-25,4.87,,
1983-03-28,4.87,,
1983-03-29,4.73,,
1983-03-30,4.91,,
1983-03-31,4.73,,
1983-04-04,4.65,,
1983-04-05,4.61,,
1983-04-06,4.48,,
1983-04-07,4.44,,
1983-04-08,4.51,,
1983-04-11,4.74,,
1983-04-12,4.73,,
1983-04-13,4.71,,
1983-04-14,4.65,,
1983-04-15,4.71,,
1983-04-18,4.99,,
1983-04-19,4.97,,
1983-04-20,5.02,,
1983-04-21,5.0,,
1983-04-22,4.94,,
1983-04-25,4.78,,
1983-04-26,4.84,,
1983-04-27,4.81,,
1983-04-28,4.94,,
1983-04-29,4.96,,
1983-05-02,4.8,,
1983-05-03,4.77,,
1983-05-04,4.76,,
1983-05-05,4.73,,
1983-05-06,4.76,,
1983-05-09,4.76,,
1983-05-10,4.93,,
1983-05-11,4.83,,
1983-05-12,4.78,,
1983-05-13,4.81,,
1983-05-16,4.8,,
1983-05-17,4.81,,
1983-05-18,5.0,,
1983-05-19,4.99,,
1983-05-20,4.94,,
1983-05-23,4.91,,
1983-05-24,5.06,,
1983-05-25,5.26,,
1983-05-26,5.32,,
1983-05-27,5.32,,
1983-05-31,5.26,,
1983-06-01,5.15,,
1983-06-02,5.16,,
1983-06-03,5.13,,
1983-06-06,5.09,,
1983-06-07,5.04,,
1983-06-08,5.02,,
1983-06-09,5.1,,
1983-06-10,5.17,,
1983-06-13,5.29,,
1983-06-14,5.33,,
1983-06-15,5.64,,
1983-06-16,5.67,,
1983-06-17,5.75,,
1983-06-20,5.81,,
1983-06-21,5.83,,
1983-06-22,5.83,,
1983-06-23,5.74,,
1983-06-24,5.74,,
1983-06-27,5.59,,
1983-06-28,5.38,,
1983-06-29,5.43,,
1983-06-30,5.52,,
1983-07-01,5.55,,
1983-07-05,5.43,,
1983-07-06,5.55,,
1983-07-07,5.55,,
1983-07-08,5.55,,
1983-07-11,5.46,,
1983-07-12,5.32,,
1983-07-13,5.38,,
1983-07-14,5.43,,
1983-07-15,5.36,,
1983-07-18,5.48,,
1983-07-19,5.62,,
1983-07-20,5.77,,
1983-07-21,5.61,,
1983-07-22,5.54,,
1983-07-25,5.48,,
1983-07-26,5.38,,
1983-07-27,5.45,,
1983-07-28,5.41,,
1983-07-29,5.38,,
1983-08-01,5.25,,
1983-08-02,5.15,,
1983-08-03,5.06,,
1983-08-04,5.13,,
1983-08-05,5.04,,
1983-08-08,4.83,,
1983-08-09,4.91,,
1983-08-10,4.99,,
1983-08-11,5.03,,
1983-08-12,5.09,,
1983-08-15,5.06,,
1983-08-16,5.03,,
1983-08-17,5.17,,
1983-08-18,5.26,,
1983-08-19,5.38,,
1983-08-22,5.42,,
1983-08-23,5.39,,
1983-08-24,5.26,,
1983-08-25,5.35,,
1983-08-26,5.46,,
1983-08-29,5.49,,
1983-08-30,5.52,,
1983-08-31,5.62,,
1983-09-01,5.52,,
1983-09-02,5.55,,
1983-09-06,5.64,,
1983-09-07,5.68,,
1983-09-08,5.68,,
1983-09-09,5.75,,
1983-09-12,5.72,,
1983-09-13,5.69,,
1983-09-14,5.65,,
1983-09-15,5.62,,
1983-09-16,5.59,,
1983-09-19,5.67,,
1983-09-20,5.59,,
1983-09-21,5.56,,
1983-09-22,5.49,,
1983-09-23,5.61,,
1983-09-26,5.52,,
1983-09-27,5.52,,
1983-09-28,5.58,,
1983-09-29,5.52,,
1983-09-30,5.51,,
1983-10-03,5.59,,
1983-10-04,5.58,,
1983-10-05,5.59,,
1983-10-06,5.54,,
1983-10-07,5.49,,
1983-10-10,5.56,,
1983-10-11,5.49,,
1983-10-12,5.54,,
1983-10-13,5.48,,
1983-10-14,5.49,,
1983-10-17,5.42,,
1983-10-18,5.2,,
1983-10-19,5.23,,
1983-10-20,5.19,,
1983-10-21,5.15,,
1983-10-24,5.12,,
1983-10-25,5.12,,
1983-10-26,5.06,,
1983-10-27,4.91,,
1983-10-28,4.84,,
1983-10-31,4.87,,
1983-11-01,5.02,,
1983-11-02,4.94,,
1983-11-03,4.96,,
1983-11-04,4.93,,
1983-11-07,4.94,,
1983-11-08,4.96,,
1983-11-09,4.93,,
1983-11-10,4.86,,
1983-11-11,4.94,,
1983-11-14,4.96,,
1983-11-15,4.93,,
1983-11-16,5.2,,
1983-11-17,5.16,,
1983-11-18,5.12,,
1983-11-21,5.09,,
1983-11-22,5.13,,
1983-11-23,5.12,,
1983-11-25,5.13,,
1983-11-28,5.09,,
1983-11-29,5.06,,
1983-11-30,5.25,,
1983-12-01,5.28,,
1983-12-02,5.43,,
1983-12-05,5.28,,
1983-12-06,5.33,,
1983-12-07,5.33,,
1983-12-08,5.33,,
1983-12-09,5.42,,
1983-12-12,5.41,,
1983-12-13,5.32,,
1983-12-14,5.19,,
1983-12-15,5.17,,
1983-12-16,5.3,,
1983-12-19,5.29,,
1983-12-20,5.19,,
1983-12-21,5.19,,
1983-12-22,5.16,,
1983-12-23,5.15,,
1983-12-27,5.19,,
1983-12-28,5.19,,
1983-12-29,5.2,,
1983-12-30,5.16,,
1984-01-03,5.22,,
1984-01-04,5.17,,
1984-01-05,5.23,,
1984-01-06,5.26,,
1984-01-09,5.23,,
1984-01-10,5.22,,
1984-01-11,5.23,,
1984-01-12,5.32,,
1984-01-13,5.35,,
1984-01-16,5.29,,
1984-01-17,5.25,,
1984-01-18,5.22,,
1984-01-19,5.23,,
1984-01-20,5.17,,
1984-01-23,5.15,,
1984-01-24,5.16,,
1984-01-25,5.19,,
1984-01-26,5.19,,
1984-01-27,5.26,,
1984-01-30,5.25,,
1984-01-31,5.2,,
1984-02-01,5.16,,
1984-02-02,5.17,,
1984-02-03,5.16,,
1984-02-06,5.09,,
1984-02-07,5.04,,
1984-02-08,4.89,,
1984-02-09,4.84,,
1984-02-10,4.83,,
1984-02-13,4.87,,
1984-02-14,4.86,,
1984-02-15,4.77,,
1984-02-16,4.78,,
1984-02-17,4.71,,
1984-02-21,4.63,,
1984-02-22,4.52,,
1984-02-23,4.28,,
1984-02-24,4.41,,
1984-02-27,4.51,,
1984-02-28,4.52,,
1984-02-29,4.52,,
1984-03-01,4.39,,
1984-03-02,4.48,,
1984-03-05,4.55,,
1984-03-06,4.55,,
1984-03-07,4.54,,
1984-03-08,4.55,,
1984-03-09,4.61,,
1984-03-12,4.78,,
1984-03-13,4.83,,
1984-03-14,4.64,,
1984-03-15,4.6,,
1984-03-16,4.81,,
1984-03-19,4.81,,
1984-03-20,4.86,,
1984-03-21,4.96,,
1984-03-22,4.97,,
1984-03-23,4.96,,
1984-03-26,4.96,,
1984-03-27,4.94,,
1984-03-28,5.16,,
1984-03-29,5.22,,
1984-03-30,5.32,,
1984-04-02,5.28,,
1984-04-03,5.25,,
1984-04-04,5.2,,
1984-04-05,5.23,,
1984-04-06,5.22,,
1984-04-09,5.15,,
1984-04-10,5.15,,
1984-04-11,5.15,,
1984-04-12,5.23,,
1984-04-13,5.33,,
1984-04-16,5.36,,
1984-04-17,5.41,,
1984-04-18,5.46,,
1984-04-19,5.39,,
1984-04-23,5.33,,
1984-04-24,5.46,,
1984-04-25,5.39,,
1984-04-26,5.41,,
1984-04-27,5.36,,
1984-04-30,5.36,,
1984-05-01,5.32,,
1984-05-02,5.3,,
1984-05-03,5.26,,
1984-05-04,5.22,,
1984-05-07,5.25,,
1984-05-08,5.26,,
1984-05-09,5.35,,
1984-05-10,5.3,,
1984-05-11,5.2,,
1984-05-14,5.13,,
1984-05-15,5.06,,
1984-05-16,5.03,,
1984-05-17,4.94,,
1984-05-18,4.87,,
1984-05-21,4.87,,
1984-05-22,4.78,,
1984-05-23,4.74,,
1984-05-24,4.67,,
1984-05-25,4.71,,
1984-05-29,4.65,,
1984-05-30,4.6,,
1984-05-31,4.71,,
1984-06-01,4.91,,
1984-06-04,4.96,,
1984-06-05,5.02,,
1984-06-06,4.94,,
1984-06-07,4.86,,
1984-06-08,4.83,,
1984-06-11,4.81,,
1984-06-12,4.81,,
1984-06-13,4.81,,
