date,NOC,dcf,Deviation
1981-12-31,7.89,,
1982-01-04,7.85,,
1982-01-05,7.85,,
1982-01-06,7.59,,
1982-01-07,7.45,,
1982-01-08,7.72,,
1982-01-11,6.91,,
1982-01-12,6.76,,
1982-01-13,6.44,,
1982-01-14,6.48,,
1982-01-15,6.66,,
1982-01-18,6.53,,
1982-01-19,6.55,,
1982-01-20,6.72,,
1982-01-21,6.93,,
1982-01-22,7.12,,
1982-01-25,7.27,,
1982-01-26,7.32,,
1982-01-27,7.32,,
1982-01-28,7.34,,
1982-01-29,7.4,,
1982-02-01,7.45,,
1982-02-02,7.57,,
1982-02-03,7.49,,
1982-02-04,7.44,,
1982-02-05,7.53,,
1982-02-08,7.32,,
1982-02-09,7.17,,
1982-02-10,6.93,,
1982-02-11,6.91,,
1982-02-12,6.81,,
1982-02-16,6.96,,
1982-02-17,7.0,,
1982-02-18,7.12,,
1982-02-19,7.1,,
1982-02-22,6.93,,
1982-02-23,6.83,,
1982-02-24,6.85,,
1982-02-25,6.89,,
1982-02-26,6.89,,
1982-03-01,6.89,,
1982-03-02,6.89,,
1982-03-03,6.95,,
1982-03-04,6.95,,
1982-03-05,6.93,,
1982-03-08,6.66,,
1982-03-09,6.44,,
1982-03-10,6.48,,
1982-03-11,6.19,,
1982-03-12,5.99,,
1982-03-15,5.99,,
1982-03-16,5.99,,
1982-03-17,6.04,,
1982-03-18,6.25,,
1982-03-19,6.38,,
1982-03-22,6.57,,
1982-03-23,6.78,,
1982-03-24,6.81,,
1982-03-25,6.93,,
1982-03-26,6.96,,
1982-03-29,7.0,,
1982-03-30,7.08,,
1982-03-31,7.0,,
1982-04-01,6.95,,
1982-04-02,7.15,,
1982-04-05,6.8,,
1982-04-06,6.85,,
1982-04-07,6.87,,
1982-04-08,6.87,,
1982-04-12,7.12,,
1982-04-13,7.34,,
1982-04-14,7.3,,
1982-04-15,7.3,,
1982-04-16,7.3,,
1982-04-19,7.3,,
1982-04-20,7.28,,
1982-04-21,7.21,,
1982-04-22,7.23,,
1982-04-23,7.25,,
1982-04-26,7.42,,
1982-04-27,7.38,,
1982-04-28,7.32,,
1982-04-29,7.28,,
1982-04-30,7.25,,
1982-05-03,7.57,,
1982-05-04,7.81,,
1982-05-05,8.06,,
1982-05-06,7.92,,
1982-05-07,7.94,,
1982-05-10,7.89,,
1982-05-11,7.89,,
1982-05-12,7.68,,
1982-05-13,7.64,,
1982-05-14,7.66,,
1982-05-17,7.62,,
1982-05-18,7.68,,
1982-05-19,7.83,,
1982-05-20,7.57,,
1982-05-21,7.59,,
1982-05-24,7.55,,
1982-05-25,7.59,,
1982-05-26,7.51,,
1982-05-27,7.57,,
1982-05-28,7.45,,
1982-06-01,7.36,,
1982-06-02,7.34,,
1982-06-03,7.27,,
1982-06-04,7.42,,
1982-06-07,7.38,,
1982-06-08,7.34,,
1982-06-09,7.3,,
1982-06-10,7.3,,
1982-06-11,7.68,,
1982-06-14,7.55,,
1982-06-15,7.76,,
1982-06-16,7.87,,
1982-06-17,7.77,,
1982-06-18,7.7,,
1982-06-21,7.74,,
1982-06-22,7.77,,
1982-06-23,7.89,,
1982-06-24,7.81,,
1982-06-25,7.12,,
1982-06-28,6.93,,
1982-06-29,6.59,,
1982-06-30,6.81,,
1982-07-01,6.93,,
1982-07-02,7.0,,
1982-07-06,7.04,,
1982-07-07,7.21,,
1982-07-08,7.27,,
1982-07-09,7.44,,
1982-07-12,7.66,,
1982-07-13,7.45,,
1982-07-14,7.66,,
1982-07-15,7.96,,
1982-07-16,7.98,,
1982-07-19,7.98,,
1982-07-20,7.89,,
1982-07-21,7.98,,
1982-07-22,8.08,,
1982-07-23,8.04,,
1982-07-26,8.02,,
1982-07-27,8.02,,
1982-07-28,7.91,,
1982-07-29,8.06,,
1982-07-30,7.98,,
1982-08-02,8.02,,
1982-08-03,8.02,,
1982-08-04,7.76,,
1982-08-05,7.49,,
1982-08-06,7.49,,
1982-08-09,7.45,,
1982-08-10,7.51,,
1982-08-11,7.51,,
1982-08-12,7.66,,
1982-08-13,7.87,,
1982-08-16,7.68,,
1982-08-17,7.79,,
1982-08-18,7.83,,
1982-08-19,7.68,,
1982-08-20,7.94,,
1982-08-23,8.55,,
1982-08-24,8.51,,
1982-08-25,8.66,,
1982-08-26,8.51,,
1982-08-27,8.32,,
1982-08-30,8.32,,
1982-08-31,8.88,,
1982-09-01,9.0,,
1982-09-02,9.09,,
1982-09-03,9.3,,
1982-09-07,9.19,,
1982-09-08,9.09,,
1982-09-09,9.13,,
1982-09-10,9.11,,
1982-09-13,8.85,,
1982-09-14,9.02,,
1982-09-15,9.0,,
1982-09-16,8.88,,
1982-09-17,8.85,,
1982-09-20,8.77,,
1982-09-21,9.24,,
1982-09-22,9.19,,
1982-09-23,9.2,,
1982-09-24,9.26,,
1982-09-27,9.24,,
1982-09-28,9.35,,
1982-09-29,9.13,,
1982-09-30,9.04,,
1982-10-01,9.13,,
1982-10-04,9.26,,
1982-10-05,9.34,,
1982-10-06,9.86,,
1982-10-07,9.84,,
1982-10-08,9.64,,
1982-10-11,9.56,,
1982-10-12,9.37,,
1982-10-13,9.45,,
1982-10-14,9.37,,
1982-10-15,9.41,,
1982-10-18,9.49,,
1982-10-19,9.9,,
1982-10-20,10.73,,
